Player Name,#Instagram Followers feb-2019,#Instagram Followers nov-2021
Serena Williams,10687239,13815902
Maria Sharapova,3488916,4164135
Eugenie Bouchard,1953129,2120271
Caroline Wozniacki,1400389,1423915
Venus Williams,1116301,1415322
Simona Halep,1033746,
Naomi Osaka,883273,
Garbiñe Muguruza,704731,
Angelique Kerber,619024,
Victoria Azarenka,608325,
Monica Puig,467681,
Petra Kvitová,466888,
Dominika Cibulkova,442734,
Elina Svitolina,421055,
Sloane Stephens,359384,
Karolina Pliskova,336303,
Kristina Mladenovic,286001,
Belinda Bencic,241029,
Camila Giorgi,207468,
Jeļena Ostapenko,175074,
Madison Keys,168094,
Caroline Garcia,138358,
Daria Kasatkina,120319,
Julia Görges,117464,
Ons Jabeur,115021,
Timea Babos,113537,
Johanna Konta,112538,
Daria Gavrilova,109197,
Andrea Petkovic,107233,
Donna Vekić,1068,
Alizé Cornet,106694,
Sorana Cirstea,95897,
Kristyna Pliskova,88324,
Katie Boulter,85184,
Maria Sakkari,85127,
Anastasia Pavlyuchenkova,79503,
Barbora Strycova,73215,
Aryna Sabalenka,70934,
Ajla Tomljanovic,68084,
Danielle Collins,59514,
Carla Suárez Navarro,56408,
Ashleigh Barty,54151,
Amanda Anisimova,52815,
Ekaterina Makarova,51725,
Kiki Bertens,49014,
Anett Kontaveit,45223,
Yulia Putintseva,42885,
Zarina Diyas,36385,
Dayana Yastremska,34872,
Aliaksandra Sasnovich,28305,
Anastasia Potapova,2805,
Elise Mertens,27986,
Lesia Tsurenko,26144,
Katerina Siniakova,25792,
Samantha Stosur,25316,
Bianca Andreescu,23808,
Mandy Minella,20511,
Mihaela Buzarnescu,20441,
Magdalena Rybarikova,18991,
Sofia Kenin,18864,
Kirsten Flipkens,17755,
Bernarda Pera,17435,
Anna Karolina Schmiedlova,16551,
Anastasija Sevastova,15864,
Aleksandra Krunic,14949,
Magda Linette,14478,
Marketa Vondrousova,14368,
Irina-Camelia Begu,12291,
Lara Arruabarrena,12048,
Veronika Kudermetova,10931,
Margarita Gasparyan,10187,
Pauline Parmentier,9707,
Vera Zvonareva,8615,
Polona Hercog,8504,
Johanna Larsson,8086,
Petra Martic,7632,
Alison Riske,7496,
Wang Qiang,6877,
Taylor Townsend,5423,
Vera Lapko,5395,
Viktoria Kuzmova,503,
Kaia Kanepi,4895,
Jessica Pegula,4736,
Sara Sorribes Tormo,4607,
Shuai Zhang,4548,
Alison Van Uytvanck,3911,
Rebecca Peterson,3106,
Mona Barthel,2726,
Saisai Zheng,2583,
Dalila Jakupovic,2384,
Tatjana Maria,2337,
Tamara Zidansek,1585,
Anna Blinkova,115,
Su-Wei Hsieh,595,
Stefanie Voegele,462,
Luksika Kumkhum,392,
Ekaterina Alexandrova,261,
