name,followers_2019,followers_2021
Acasuso J.,1000.0,1000.0
Aguilar J.,1000.0,1000.0
Ahouda A.,1000.0,1000.0
Ajdukovic D.,1000.0,1000.0
Al Ghareeb M.,1000.0,1000.0
Al Mutawa J.,1000.0,1000.0
Alawadhi O.,1000.0,1000.0
Albot R.,1000.0,1000.0
Alcaide G.,1000.0,1000.0
Alcaraz C.,1000.0,1000.0
Ali Mutawa J.M.,1000.0,1000.0
Almagro N.,1000.0,1000.0
Altamirano C.,1000.0,1000.0
Altmaier D.,1000.0,1000.0
Alund M.,1000.0,1000.0
Alves T.,1000.0,1000.0
Amritraj P.,1000.0,1000.0
Ancic M.,1000.0,1000.0
Anderson K.,1000.0,1000.0
Anderson O.,1000.0,1000.0
Andreev A.,1000.0,1000.0
Andreev I.,1000.0,1000.0
Andreozzi G.,1000.0,1000.0
Androic T.,1000.0,1000.0
Andujar P.,1000.0,1000.0
Aragone J.C.,1000.0,1000.0
Aranguren J.M.,1000.0,1000.0
Arevalo M.,1000.0,1000.0
Arguello F.,1000.0,1000.0
Arnaboldi A.,1000.0,1000.0
Artunedo Martinavarro A.,1000.0,1000.0
Arvidsson I.,1000.0,1000.0
Ascione T.,1000.0,1000.0
Auger-Aliassime F.,1000.0,1000.0
Authom M.,1000.0,1000.0
Avidzba A.,1000.0,1000.0
Awadhy O.,1000.0,1000.0
Bachinger M.,1000.0,1000.0
Baez S.,1000.0,1000.0
Baghdatis M.,1000.0,1000.0
Bagnis F.,1000.0,1000.0
Bai Y.,1000.0,1000.0
Baker B.,1000.0,1000.0
Baker J.,1000.0,1000.0
Balazs A.,1000.0,1000.0
Baldi F.,1000.0,1000.0
Ball C.,1000.0,1000.0
Balleret B.,1000.0,1000.0
Baluda V.,1000.0,1000.0
Bangoura S.,1000.0,1000.0
Barrere G.,1000.0,1000.0
Barrientos N.,1000.0,1000.0
Barrios M.,1000.0,1000.0
Barrios Vera M.T.,1000.0,1000.0
Barton M.,1000.0,1000.0
Basic M.,1000.0,1000.0
Basilashvili N.,1000.0,1000.0
Basso A.,1000.0,1000.0
Bautista Agut R.,1000.0,1000.0
Bautista R.,1000.0,1000.0
Beck A.,1000.0,1000.0
Beck K.,1000.0,1000.0
Becker B.,1000.0,1000.0
Bedene A.,1000.0,1000.0
Bega A.,1000.0,1000.0
Bellier A.,1000.0,1000.0
Bellotti R.,1000.0,1000.0
Bellucci T.,1000.0,1000.0
Belyaev I.,1000.0,1000.0
Bemelmans R.,1000.0,1000.0
Benchetrit E.,1000.0,1000.0
Benneteau J.,1000.0,1000.0
Berankis R.,1000.0,1000.0
Berdych T.,1000.0,1000.0
Bergs Z.,1000.0,1000.0
Berlocq C.,1000.0,1000.0
Berrer M.,1000.0,1000.0
Berrettini M.,1000.0,1000.0
Bester P.,1000.0,1000.0
Betov S.,1000.0,1000.0
Bhambri Y.,1000.0,1000.0
Biryukov M.,1000.0,1000.0
Blake J.,1000.0,1000.0
Blancaneaux G.,1000.0,1000.0
Blanch U.,1000.0,1000.0
Bloomfield R.,1000.0,1000.0
Bogaerts R.,1000.0,1000.0
Bogdanovic A.,1000.0,1000.0
Bogomolov A.,1000.0,1000.0
Bohli S.,1000.0,1000.0
Bolelli S.,1000.0,1000.0
Bolt A.,1000.0,1000.0
Bonzi B.,1000.0,1000.0
Bopanna R.,1000.0,1000.0
Borges N.,1000.0,1000.0
Borvanov R.,1000.0,1000.0
Bossel A.,1000.0,1000.0
Bourchier H.,1000.0,1000.0
Bourgue M.,1000.0,1000.0
Bozoljac I.,1000.0,1000.0
Brancaccio R.,1000.0,1000.0
Brands D.,1000.0,1000.0
Britton D.,1000.0,1000.0
Broady L.,1000.0,1000.0
Brooksby J.,1000.0,1000.0
Brown D.,1000.0,1000.0
Brugues-Davi A.,1000.0,1000.0
Bryde T.,1000.0,1000.0
Brzezicki J.P.,1000.0,1000.0
Bubka S.,1000.0,1000.0
Bublik A.,1000.0,1000.0
Buchanan C.,1000.0,1000.0
Burquier G.,1000.0,1000.0
Cabal J.S.,1000.0,1000.0
Cachin P.,1000.0,1000.0
Cacic N.,1000.0,1000.0
Capdeville P.,1000.0,1000.0
Carballes Baena R.,1000.0,1000.0
Carreno Busta P.,1000.0,1000.0
Caruana L.,1000.0,1000.0
Caruso S.,1000.0,1000.0
Catarina L.,1000.0,1000.0
Cazaux A.,1000.0,1000.0
Cecchinato M.,1000.0,1000.0
Celikbilek A.,1000.0,1000.0
Cermak F.,1000.0,1000.0
Cerundolo F.,1000.0,1000.0
Cerundolo J.M.,1000.0,1000.0
Cervantes I.,1000.0,1000.0
Cervenak P.,1000.0,1000.0
Chardy J.,1000.0,1000.0
Chela J.I.,1000.0,1000.0
Chiudinelli M.,1000.0,1000.0
Choinski J.,1000.0,1000.0
Chrysochos P.,1000.0,1000.0
Chung H.,1000.0,1000.0
Chvojka E.,1000.0,1000.0
Cilic M.,1000.0,1000.0
Ciorcila P.,1000.0,1000.0
Cipolla F.,1000.0,1000.0
Clarke J.,1000.0,1000.0
Clement A.,1000.0,1000.0
Clezar G.,1000.0,1000.0
Cobolli F.,1000.0,1000.0
Collarini A.,1000.0,1000.0
Copil M.,1000.0,1000.0
Coppejans K.,1000.0,1000.0
Coria F.,1000.0,1000.0
Coric B.,1000.0,1000.0
Corrie E.,1000.0,1000.0
Couacaud E.,1000.0,1000.0
Cox D.,1000.0,1000.0
Cressy M.,1000.0,1000.0
Crivoi V.,1000.0,1000.0
Crugnola M.,1000.0,1000.0
Cuevas P.,1000.0,1000.0
Dabul B.,1000.0,1000.0
Dancevic F.,1000.0,1000.0
Daniel M.,1000.0,1000.0
Daniel T.,1000.0,1000.0
Darcis S.,1000.0,1000.0
Dasnieres de Veigy J.,1000.0,1000.0
Davidovich Fokina A.,1000.0,1000.0
Davydenko N.,1000.0,1000.0
Davydenko P.,1000.0,1000.0
De Bakker T.,1000.0,1000.0
De Greef A.,1000.0,1000.0
De Heart R.,1000.0,1000.0
De Loore J.,1000.0,1000.0
De Minaur A.,1000.0,1000.0
De Paula F.,1000.0,1000.0
De Schepper K.,1000.0,1000.0
De Voest R.,1000.0,1000.0
Decoud S.,1000.0,1000.0
Deen Heshaam A.,1000.0,1000.0
Deheart R.,1000.0,1000.0
Del Bonis F.,1000.0,1000.0
Del Potro J. M.,1000.0,1000.0
Del Potro J.M.,1000.0,1000.0
Delbonis F.,1000.0,1000.0
Delgado R.,1000.0,1000.0
Delic A.,1000.0,1000.0
Delic M.,1000.0,1000.0
Dellien H.,1000.0,1000.0
Demoliner M.,1000.0,1000.0
Dent T.,1000.0,1000.0
Desein N.,1000.0,1000.0
Devilder N.,1000.0,1000.0
