Rafael Nadal,12349083
Roger Federer,8796846
Novak Djokovic,9465474
Juan Martin del Potro,1867755
Andy Murray,1802054
Nick Kyrgios,1749490
Stanislas Wawrinka,1246096
Grigor Dimitrov,1026272
Alexander Zverev,1475925
Dominic Thiem,1425917
Kei Nishikori,540863
Stefanos Tsitsipas,1465164
Gael Monfils,826242
Tomas Berdych,340430
Milos Raonic,350576
Fabio Fognini,586479
Diego Schwartzman,679943
Denis Shapovalov,529807
Fernando Verdasco,285325
David Goffin,287210
Feliciano Lopez,237901
Borna Coric,240511
Marin Čilić,205841
John Isner,196141
Lucas Pouille,172165
Benoit Paire,396219
Richard Gasquet,140338
Hyeon Chung,102
Kevin Anderson,127906
Karen Khachanov,255535
Alex De Minaur,223608
Frances Tiafoe,208500
Marco Cecchinato,86622
Guido Pella,170676
Pierre-Hugues Herbert,107810
Kyle Edmund,86357
Vasek Pospisil,92536
Taylor Fritz,147999
Nico Jarry,97182
Jeremy Chardy,74914
Pablo Carreño,130340
João Sousa,62169
Andreas Seppi,67808
Pablo Cuevas,62562
Roberto Bautista Agut,116449
Mischa Zverev,62644
Medvedev Daniil,712339
Malek Jaziri,42437
Cristian Garin,168206
Nikoloz Basilashvili,95432
Damir Dzumhur,46557
Sam Querrey,30008
Ivo Karlovic,31977
John Millman,47733
Steve Johnson,22878
Fucsovics Marton,58512
Filip Krajinović,43200
Matt Ebden,62727
Ryan Harrison,18521
Pablo Andujar,30870
Matteo Berrettini,973156
Taro Daniel,23121
Marius Copil,20365
Jaume Muna,28340
Albert Ramos Viñolas,19384
Robin Haase,19791
Dusan Lajovic,37413
Denis Kudla,16254
Mackenzie McDonald,30141
Cameron Norrie,40133
Federico Delbonis,18443
Aljaz Bedene,15787
Jordan Thompson,33666
Reilly Opelka,68777
Yoshihito Nishioka,33312
Adrian Mannarino,14528
Thomas Fabbiano,17345
Jiri Vesely,10141
Maximilian Marterer,7150
Tennys Sandgren,19500
Bernard Tomic,4960
Evgeny Donskoy,6199
Guido Andreozzi,6455
Mirza Basic,3954
Hubert Hurkacz,120900
Roberto Carballes Baena,7700
Ugo Humbert,56698
Mikhail Kukushkin,5780
Laslo Djere,25051
Peter Gojowczyk,6208
Ilya Ivashka,7451
Lloyd Harris,25192
Bradley Klahn,2242
Radu Albot,11934
Jozef Kovalik,2005
Ernests Gulbis,1591
