Serena Williams,13815902
Maria Sharapova,4164135
Eugenie Bouchard,2120271
Caroline Wozniacki,1423915
Venus Williams,1415322
Simona Halep,1690489
Garbiñe Muguruza,879940
Angelique Kerber,676216
Victoria Azarenka,700362
Monica Puig,532850
Petra Kvitová,626125
Dominika Cibulkova,492347
Elina Svitolina,830482
Sloane Stephens,529229
Karolina Pliskova,439226
Kristina Mladenovic,344205
Belinda Bencic,390086
Camila Giorgi,511027
Jeļena Ostapenko,176942
Madison Keys,201131
Caroline Garcia,166385
Daria Kasatkina,195804
Julia Görges,159793
Ons Jabeur,350860
Timea Babos,183035
Johanna Konta,154523
Daria Gavrilova,117411
Andrea Petkovic,148727
Donna Vekić,207310
Alizé Cornet,119412
Sorana Cirstea,137720
Kristyna Pliskova,145837
Katie Boulter,135307
Maria Sakkari,21
Anastasia Pavlyuchenkova,140553
Barbora Strycova,115080
Aryna Sabalenka,301143
Ajla Tomljanovic,193901
Danielle Collins,112992
Carla Suárez Navarro,85637
Ashleigh Barty,275
Amanda Anisimova,172071
Ekaterina Makarova,51675
Kiki Bertens,89294
Anett Kontaveit,117822
Yulia Putintseva,81235
Zarina Diyas,41630
Dayana Yastremska,114808
