name,followers_2019,followers_2021
Nadal R.,6434996,12349083
Federer R.,5804947,8796846
Djokovic N.,5100000,9465474
Del Potro J.M.,1815226,1867755
Murray A.,1700000,1802054
Kyrgios N.,1037846,1749490
Wawrinka S.,913567,1246096
Dimitrov G.,854606,1026272
Zverev A.,72686,1475925
Thiem D.,556312,1425917
Nishikori K.,476388,540863
Tsitsipas S.,453918,1465164
Monfils G.,449125,826242
Berdych T.,37888,340430
Raonic M.,377705,350576
Fognini F.,346323,586479
Schwartzman D.,291137,679943
Shapovalov D.,270249,529807
Verdasco F.,254922,285325
Goffin D.,24489,287210
Lopez F.,201889,237901
Coric B.,196635,240511
Cilic M.,181546,205841
Isner J.,169332,196141
Pouille L.,167432,172165
Paire B.,13825,396219
Gasquet R.,137522,140338
Chung H.,135265,102
Anderson K.,133952,127906
Khachanov K.,130822,255535
De Greef A.,117002,223608
Tiafoe F.,10509,208500
Cecchinato M.,100922,86622
Pella G.,74338,170676
Herbert P.H.,74265,107810
Edmund K.,73052,86357
Pospisil V.,72383,92536
Fritz T.,70988,147999
Jarry N.,68747,97182
Chardy J.,63412,74914
Carreno Busta P.,60953,130340
Sousa J.,53648,62169
Seppi A.,5275,67808
Bautista Agut R.,46046,62562
Zverev M.,43073,116449
Medvedev D.,39729,712339
Cuevas P.,39296,712339
Jaziri M.,37564,42437
Garin C.,36636,168206
Basilashvili N.,36601,95432
Dzumhur D.,36139,46557
Querrey S.,30487,30008
Karlovic I.,28953,31977
Millman J.,27252,47733
Johnson S.,23164,22878
Fucsovics M.,22873,58512
Krajinovic F.,21831,43200
Ebden M.,21401,62727
Harrison R.,21375,18521
Andujar P.,19185,30870
Berrettini M.,1833,973156
Daniel T.,17273,23121
Copil M.,16386,20365
Munar J.,16233,28340
Ramos A.,15872,19384
Haase R.,14644,19791
Lajovic D.,14362,37413
Kudla D.,13881,16254
Mcdonald M.,13489,30141
Norrie C.,13438,40133
Delbonis F.,12192,18443
Bedene A.,11598,15787
Thompson J.,11272,33666
Opelka R.,1079,68777
Nishioka Y.,9976,33312
Mannarino A.,9421,14528
Fabbiano T.,8893,17345
Vesely J.,8597,10141
Marterer M.,8206,7150
Sandgren T.,679,19500
Tomic B.,5655,4960
Donskoy E.,5103,6199
Andreozzi G.,4662,6455
Basic M.,4347,3954
Hurkacz H.,371,120900
Carballes Baena R.,3635,7700
Humbert U.,3582,56698
Kukushkin M.,3186,5780
Djere L.,3022,25051
Gojowczyk P.,2502,6208
Ivashka I.,2378,7451
Harris L.,2359,25192
Klizan M.,2159,3500
Klahn B.,1513,2242
Albot R.,1338,11934
Kovalik J.,1324,2005
Gulbis E.,1001,1591
