player_id,name,hand,date_of_birth,country,height
104076,Acasuso J.,R,19821020,ARG,190
104477,Aguilar J.,R,19850108,CHI,178
144760,Ahouda A.,U,19970911,MAR,177
207213,Ajdukovic D.,R,20010205,CRO,177
108645,Al Ghareeb M.,U,19840420,KUW,177
106325,Al Mutawa J.,U,19940521,QAT,177
200525,Alawadhi O.,R,19920217,KUW,177
105430,Albot R.,R,19891111,MDA,175
104739,Alcaide G.,R,19860527,ESP,188
106688,Alcaraz C.,R,nan,ESP,177
141318,Ali Mutawa J.M.,U,19820412,ALG,177
104597,Almagro N.,R,19850821,ESP,183
123768,Altamirano C.,R,19951207,USA,177
127157,Altmaier D.,R,19980912,GER,177
104651,Alund M.,R,19851226,ARG,177
103999,Alves T.,R,19820522,BRA,178
104250,Amritraj P.,R,19831002,IND,188
104339,Ancic M.,R,19840330,CRO,196
104731,Anderson K.,R,19860518,RSA,203
113204,Anderson O.,U,nan,USA,177
202090,Andreev A.,R,20010512,BUL,177
104214,Andreev I.,R,19830714,RUS,185
105819,Andreozzi G.,R,19910805,ARG,177
105888,Androic T.,R,19911228,CRO,177
104665,Andujar P.,R,19860123,ESP,180
111574,Aragone J.C.,R,19950628,USA,177
104253,Aranguren J.M.,R,19831007,ARG,177
105656,Arevalo M.,R,19901017,ESA,191
106032,Arguello F.,R,19920804,ARG,177
105063,Arnaboldi A.,L,19871227,ITA,177
106238,Artunedo Martinavarro A.,R,19930914,ESP,177
106035,Arvidsson I.,R,19920806,SWE,177
103693,Ascione T.,R,19810117,FRA,188
200000,Auger-Aliassime F.,R,20000808,CAN,193
104893,Authom M.,R,19870329,BEL,177
200553,Avidzba A.,R,20000224,RUS,177
103914,Awadhy O.,R,19820116,UAE,177
104897,Bachinger M.,R,19870402,GER,188
202104,Baez S.,R,20001228,ARG,177
104571,Baghdatis M.,R,19850617,CYP,183
105487,Bagnis F.,L,19900227,ARG,183
105339,Bai Y.,R,19890521,CHN,177
104548,Baker B.,R,19850430,USA,190
104779,Baker J.,R,19860805,GBR,183
105226,Balazs A.,R,19880927,HUN,180
111795,Baldi F.,R,19960110,ITA,177
104958,Ball C.,L,19870620,AUS,198
104112,Balleret B.,R,19830115,MON,185
106066,Baluda V.,R,19920930,RUS,177
105871,Bangoura S.,R,19911118,USA,177
106296,Barrere G.,R,19940216,FRA,183
104905,Barrientos N.,R,19870424,COL,175
122628,Barrios M.,U,19940317,ARG,177
122628,Barrios Vera M.T.,U,19940317,ARG,177
105881,Barton M.,R,19911218,AUS,177
105806,Basic M.,R,19910712,BIH,188
105932,Basilashvili N.,R,19920223,GEO,185
109640,Basso A.,L,19931008,ITA,177
105138,Bautista Agut R.,R,19880414,ESP,183
105138,Bautista R.,R,19880414,ESP,183
104676,Beck A.,L,19860205,GER,190
103971,Beck K.,R,19820403,SVK,180
101414,Becker B.,R,19671122,GER,190
105379,Bedene A.,R,19890718,SLO,181
105692,Bega A.,R,19910111,ITA,177
134472,Bellier A.,U,19961018,SUI,177
105821,Bellotti R.,R,19910805,ITA,177
105064,Bellucci T.,L,19871230,BRA,188
105609,Belyaev I.,R,19900809,RUS,180
105074,Bemelmans R.,L,19880114,BEL,183
200611,Benchetrit E.,R,19981002,FRA,177
103898,Benneteau J.,R,19811220,FRA,185
105575,Berankis R.,R,19900621,LTU,175
104607,Berdych T.,R,19850917,CZE,196
200267,Bergs Z.,R,19990603,BEL,177
104122,Berlocq C.,R,19830203,ARG,183
103582,Berrer M.,L,19800701,GER,193
126610,Berrettini M.,R,19960412,ITA,196
105229,Bester P.,R,19881006,CAN,188
105029,Betov S.,R,19871015,BLR,177
106026,Bhambri Y.,R,19920704,IND,183
105987,Biryukov M.,R,19920428,RUS,177
101372,Blake J.,R,19670714,USA,178
144972,Blancaneaux G.,R,19980808,FRA,177
200265,Blanch U.,R,19980325,USA,177
104171,Bloomfield R.,R,19830427,GBR,185
122279,Bogaerts R.,U,19931223,BEL,177
104372,Bogdanovic A.,L,19840522,GBR,183
104166,Bogomolov A.,R,19830423,RUS,178
104219,Bohli S.,R,19830725,SUI,185
104620,Bolelli S.,R,19851008,ITA,183
106109,Bolt A.,L,19930105,AUS,177
126127,Bonzi B.,R,19960609,FRA,177
103523,Bopanna R.,R,19800304,IND,190
132686,Borges N.,R,19970219,POR,177
103969,Borvanov R.,R,19820331,MDA,183
104847,Bossel A.,L,19861228,SUI,177
117358,Bourchier H.,R,19960124,AUS,177
106288,Bourgue M.,R,19940118,FRA,177
104592,Bozoljac I.,R,19850802,SRB,193
134840,Brancaccio R.,U,19970504,ITA,177
104978,Brands D.,R,19870717,GER,196
105730,Britton D.,R,19910317,USA,193
106281,Broady L.,L,19940104,GBR,177
202385,Brooksby J.,R,20001026,USA,177
101830,Brown D.,R,19701214,USA,177
104516,Brugues-Davi A.,L,19850305,ESP,183
200336,Bryde T.,R,19990824,USA,177
103976,Brzezicki J.P.,R,19820412,ARG,178
104869,Bubka S.,R,19870210,UKR,188
122330,Bublik A.,R,19970617,KAZ,196
105783,Buchanan C.,R,19910604,USA,177
104393,Burquier G.,L,19840708,FRA,177
108701,Cabal J.S.,R,19860425,COL,185
106398,Cachin P.,R,19950412,ARG,177
105677,Cacic N.,R,19901207,SRB,177
104154,Capdeville P.,R,19830402,CHI,190
106148,Carballes Baena R.,R,19930323,ESP,183
105807,Carreno Busta P.,R,19910712,ESP,188
105807,Carreno-Busta P.,R,19910712,ESP,188
132482,Caruana L.,R,19980122,USA,177
106099,Caruso S.,R,19921215,ITA,185
200031,Catarina L.,R,19960826,MON,177
209070,Cazaux A.,R,20020823,FRA,177
106065,Cecchinato M.,R,19920930,ITA,185
123795,Celikbilek A.,U,19960907,TUR,177
102886,Cermak F.,R,19761114,CZE,193
202103,Cerundolo F.,R,19980813,ARG,177
207678,Cerundolo J.M.,L,20011115,ARG,177
105438,Cervantes I.,R,19891130,ESP,177
104965,Cervenak P.,R,19870701,SVK,191
104871,Chardy J.,R,19870212,FRA,188
103428,Chela J.I.,R,19790830,ARG,190
103843,Chiudinelli M.,R,19810910,SUI,185
123828,Choinski J.,R,19960610,GER,177
