Winner,Loser,Odds
Dimitrov G.,Nishioka Y.,1.35:3.18
Raonic M.,Bedene A.,1.22:4.26
Kecmanovic M.,Mayer L.,1.63:2.28
Millman J.,Sandgren T.,1.4:2.95
Uchiyama Y.,Humbert U.,2.69:1.47
Kudla D.,Fritz T.,2.7:1.47
Chardy J.,Struff J.L.,2.19:1.68
Murray A.,Duckworth J.,1.34:3.26
Kyrgios N.,Harrison R.,1.44:2.8
Tsonga J.W.,Kokkinakis T.,2.27:1.64
De Minaur A.,Popyrin A.,1.2:4.55
Thompson J.,Bolt A.,1.36:3.14
Dimitrov G.,Millman J.,1.43:2.82
Uchiyama Y.,Edmund K.,4.26:1.22
Nishikori K.,Kudla D.,1.16:5.17
Raonic M.,Kecmanovic M.,1.21:4.48
Chardy J.,Kyrgios N.,3.11:1.37
Medvedev D.,Murray A.,1.88:1.93
De Minaur A.,Thompson J.,1.38:3.06
Tsonga J.W.,Daniel T.,1.27:3.84
Chardy J.,Uchiyama Y.,1.61:2.34
Nishikori K.,Dimitrov G.,1.65:2.26
Medvedev D.,Raonic M.,2.04:1.79
Tsonga J.W.,De Minaur A.,2.42:1.57
Nishikori K.,Chardy J.,1.17:5.11
Medvedev D.,Tsonga J.W.,1.67:2.23
Nishikori K.,Medvedev D.,1.6:2.36
Bautista Agut R.,Berrettini M.,1.35:3.23
Jarry N.,Haase R.,2.05:1.77
Verdasco F.,Lorenzi P.,1.24:4.07
Berdych T.,Kohlschreiber P.,2.44:1.59
Basilashvili N.,Ramos-Vinolas A.,1.45:2.75
Rublev A.,Seppi A.,1.5:2.59
Marterer M.,Gojowczyk P.,2.09:1.74
Berankis R.,Goffin D.,3.32:1.33
Pella G.,Ilkel C.,1.2:4.49
Cecchinato M.,Stakhovsky S.,2.18:1.68
Lajovic D.,Mannarino A.,1.72:2.11
Garcia-Lopez G.,Zayid M.S.,1.02:17.2
Wawrinka S.,Khachanov K.,2.89:1.41
Fucsovics M.,Copil M.,1.64:2.26
Djokovic N.,Dzumhur D.,1.03:12.85
Herbert P.H.,Thiem D.,3.77:1.27
Lajovic D.,Berankis R.,1.72:2.12
Bautista Agut R.,Garcia-Lopez G.,1.23:4.2
Wawrinka S.,Jarry N.,1.37:3.1
Djokovic N.,Fucsovics M.,1.03:12.51
Cecchinato M.,Pella G.,2.03:1.78
Herbert P.H.,Marterer M.,1.69:2.17
Basilashvili N.,Rublev A.,2.0:1.81
Berdych T.,Verdasco F.,1.71:2.14
Bautista Agut R.,Wawrinka S.,2.1:1.75
Djokovic N.,Basilashvili N.,1.07:8.78
Berdych T.,Herbert P.H.,1.49:2.67
Cecchinato M.,Lajovic D.,2.53:1.53
Bautista Agut R.,Djokovic N.,4.95:1.18
Berdych T.,Cecchinato M.,1.45:2.78
Bautista Agut R.,Berdych T.,1.6:2.37
Darcis S.,Carballes Baena R.,2.35:1.59
Munar J.,Albot R.,1.94:1.86
Donskoy E.,Andujar P.,1.51:2.53
Mmoh M.,Gunneswaran P.,1.74:2.09
Gulbis E.,Sousa P.,1.35:3.19
Karlovic I.,Auger-Aliassime F.,2.16:1.7
Bolelli S.,Istomin D.,2.11:1.72
Ivashka I.,Hurkacz H.,2.24:1.65
Vesely J.,Hoang A.,1.88:1.92
Paire B.,Monteiro T.,1.34:3.07
Ramanathan R.,Granollers M.,2.3:1.61
Djere L.,Kadhe A.,1.25:3.96
Karlovic I.,Donskoy E.,1.66:2.22
Gulbis E.,Chung H.,3.25:1.34
Paire B.,Vesely J.,1.54:2.48
Anderson K.,Djere L.,1.32:3.31
Munar J.,Bolelli S.,2.08:1.75
Darcis S.,Mmoh M.,2.42:1.56
Simon G.,Ivashka I.,1.45:2.74
Jaziri M.,Ramanathan R.,1.94:1.86
Karlovic I.,Gulbis E.,2.12:1.73
Darcis S.,Jaziri M.,1.82:2.0
Anderson K.,Munar J.,1.3:3.57
Simon G.,Paire B.,1.56:2.44
Karlovic I.,Darcis S.,1.53:2.53
Anderson K.,Simon G.,1.39:3.03
Anderson K.,Karlovic I.,1.27:3.83
Fritz T.,Copil M.,1.59:2.34
Kohlschreiber P.,Klahn B.,1.48:2.64
Struff J.L.,Djere L.,1.46:2.72
Norrie C.,Paire B.,1.66:2.23
Sandgren T.,Marterer M.,2.48:1.54
Berrettini M.,Mcdonald M.,1.8:2.01
Sousa J.,Shapovalov D.,2.71:1.47
Mayer L.,Johnson S.,2.56:1.51
Ferrer D.,Haase R.,1.72:2.12
Gojowczyk P.,Pella G.,1.76:2.06
Statham J.,Chung H.,7.07:1.1
Humbert U.,Cuevas P.,1.61:2.32
Fritz T.,Isner J.,2.4:1.58
Sandgren T.,Cecchinato M.,1.63:2.28
Mayer L.,Berrettini M.,2.4:1.58
Fognini F.,Gojowczyk P.,1.61:2.32
Kohlschreiber P.,Humbert U.,1.59:2.36
Norrie C.,Sousa J.,1.57:2.4
Carreno Busta P.,Ferrer D.,2.53:1.52
Struff J.L.,Statham J.,1.21:4.48
Sandgren T.,Mayer L.,1.67:2.23
Kohlschreiber P.,Fognini F.,1.53:2.54
Norrie C.,Fritz T.,1.82:2.01
Struff J.L.,Carreno Busta P.,1.8:2.02
Sandgren T.,Kohlschreiber P.,2.9:1.42
Norrie C.,Struff J.L.,1.64:2.27
Sandgren T.,Norrie C.,2.18:1.7
