Location,Surface,Data,Tournament
Brisbane,Hard,12/31/2018,Brisbane International
Brisbane,Hard,12/31/2018,Brisbane International
Brisbane,Hard,12/31/2018,Brisbane International
Brisbane,Hard,12/31/2018,Brisbane International
Brisbane,Hard,12/31/2018,Brisbane International
Brisbane,Hard,1/1/2019,Brisbane International
Brisbane,Hard,1/1/2019,Brisbane International
Brisbane,Hard,1/1/2019,Brisbane International
Brisbane,Hard,1/1/2019,Brisbane International
Brisbane,Hard,1/1/2019,Brisbane International
Brisbane,Hard,1/1/2019,Brisbane International
Brisbane,Hard,1/1/2019,Brisbane International
Brisbane,Hard,1/2/2019,Brisbane International
Brisbane,Hard,1/2/2019,Brisbane International
Brisbane,Hard,1/2/2019,Brisbane International
Brisbane,Hard,1/2/2019,Brisbane International
Brisbane,Hard,1/2/2019,Brisbane International
Brisbane,Hard,1/2/2019,Brisbane International
Brisbane,Hard,1/2/2019,Brisbane International
Brisbane,Hard,1/3/2019,Brisbane International
Brisbane,Hard,1/3/2019,Brisbane International
Brisbane,Hard,1/3/2019,Brisbane International
Brisbane,Hard,1/4/2019,Brisbane International
Brisbane,Hard,1/4/2019,Brisbane International
Brisbane,Hard,1/5/2019,Brisbane International
Brisbane,Hard,1/5/2019,Brisbane International
Brisbane,Hard,1/6/2019,Brisbane International
Doha,Hard,12/31/2018,Qatar Exxon Mobil Open
Doha,Hard,12/31/2018,Qatar Exxon Mobil Open
Doha,Hard,12/31/2018,Qatar Exxon Mobil Open
Doha,Hard,12/31/2018,Qatar Exxon Mobil Open
Doha,Hard,12/31/2018,Qatar Exxon Mobil Open
Doha,Hard,12/31/2018,Qatar Exxon Mobil Open
Doha,Hard,12/31/2018,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/1/2019,Qatar Exxon Mobil Open
Doha,Hard,1/2/2019,Qatar Exxon Mobil Open
Doha,Hard,1/2/2019,Qatar Exxon Mobil Open
Doha,Hard,1/2/2019,Qatar Exxon Mobil Open
Doha,Hard,1/2/2019,Qatar Exxon Mobil Open
Doha,Hard,1/2/2019,Qatar Exxon Mobil Open
