Tournament,Data,Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets,Year
Brisbane International,12/31/2018,Dimitrov G.,Nishioka Y.,1.35,3.18,1st Round,2.0,0.0,2018
Brisbane International,12/31/2018,Raonic M.,Bedene A.,1.22,4.26,1st Round,2.0,0.0,2018
Brisbane International,12/31/2018,Kecmanovic M.,Mayer L.,1.63,2.28,1st Round,2.0,0.0,2018
Brisbane International,12/31/2018,Millman J.,Sandgren T.,1.4,2.95,1st Round,2.0,1.0,2018
Brisbane International,12/31/2018,Uchiyama Y.,Humbert U.,2.69,1.47,1st Round,2.0,0.0,2018
Brisbane International,1/1/2019,Kudla D.,Fritz T.,2.7,1.47,1st Round,2.0,1.0,2019
Brisbane International,1/1/2019,Chardy J.,Struff J.L.,2.19,1.68,1st Round,2.0,1.0,2019
Brisbane International,1/1/2019,Murray A.,Duckworth J.,1.34,3.26,1st Round,2.0,0.0,2019
Brisbane International,1/1/2019,Kyrgios N.,Harrison R.,1.44,2.8,1st Round,2.0,1.0,2019
Brisbane International,1/1/2019,Tsonga J.W.,Kokkinakis T.,2.27,1.64,1st Round,2.0,0.0,2019
Brisbane International,1/1/2019,De Minaur A.,Popyrin A.,1.2,4.55,1st Round,2.0,0.0,2019
Brisbane International,1/1/2019,Thompson J.,Bolt A.,1.36,3.14,1st Round,2.0,0.0,2019
Brisbane International,1/2/2019,Dimitrov G.,Millman J.,1.43,2.82,2nd Round,2.0,0.0,2019
Brisbane International,1/2/2019,Uchiyama Y.,Edmund K.,4.26,1.22,2nd Round,2.0,0.0,2019
Brisbane International,1/2/2019,Nishikori K.,Kudla D.,1.16,5.17,2nd Round,2.0,0.0,2019
Brisbane International,1/2/2019,Raonic M.,Kecmanovic M.,1.21,4.48,2nd Round,2.0,0.0,2019
Brisbane International,1/2/2019,Chardy J.,Kyrgios N.,3.11,1.37,2nd Round,2.0,1.0,2019
Brisbane International,1/2/2019,Medvedev D.,Murray A.,1.88,1.93,2nd Round,2.0,0.0,2019
Brisbane International,1/2/2019,De Minaur A.,Thompson J.,1.38,3.06,2nd Round,2.0,0.0,2019
Brisbane International,1/3/2019,Tsonga J.W.,Daniel T.,1.27,3.84,2nd Round,2.0,0.0,2019
Brisbane International,1/3/2019,Chardy J.,Uchiyama Y.,1.61,2.34,Quarterfinals,2.0,1.0,2019
Brisbane International,1/3/2019,Nishikori K.,Dimitrov G.,1.65,2.26,Quarterfinals,2.0,0.0,2019
Brisbane International,1/4/2019,Medvedev D.,Raonic M.,2.04,1.79,Quarterfinals,2.0,1.0,2019
Brisbane International,1/4/2019,Tsonga J.W.,De Minaur A.,2.42,1.57,Quarterfinals,2.0,0.0,2019
Brisbane International,1/5/2019,Nishikori K.,Chardy J.,1.17,5.11,Semifinals,2.0,0.0,2019
Brisbane International,1/5/2019,Medvedev D.,Tsonga J.W.,1.67,2.23,Semifinals,2.0,0.0,2019
Brisbane International,1/6/2019,Nishikori K.,Medvedev D.,1.6,2.36,The Final,2.0,1.0,2019
Qatar Exxon Mobil Open,12/31/2018,Bautista Agut R.,Berrettini M.,1.35,3.23,1st Round,2.0,0.0,2018
Qatar Exxon Mobil Open,12/31/2018,Jarry N.,Haase R.,2.05,1.77,1st Round,2.0,1.0,2018
Qatar Exxon Mobil Open,12/31/2018,Verdasco F.,Lorenzi P.,1.24,4.07,1st Round,2.0,0.0,2018
Qatar Exxon Mobil Open,12/31/2018,Berdych T.,Kohlschreiber P.,2.44,1.59,1st Round,2.0,0.0,2018
Qatar Exxon Mobil Open,12/31/2018,Basilashvili N.,Ramos-Vinolas A.,1.45,2.75,1st Round,2.0,1.0,2018
Qatar Exxon Mobil Open,12/31/2018,Rublev A.,Seppi A.,1.5,2.59,1st Round,2.0,0.0,2018
Qatar Exxon Mobil Open,12/31/2018,Marterer M.,Gojowczyk P.,2.09,1.74,1st Round,2.0,0.0,2018
Qatar Exxon Mobil Open,1/1/2019,Berankis R.,Goffin D.,3.32,1.33,1st Round,2.0,1.0,2019
Qatar Exxon Mobil Open,1/1/2019,Pella G.,Ilkel C.,1.2,4.49,1st Round,2.0,0.0,2019
Qatar Exxon Mobil Open,1/1/2019,Cecchinato M.,Stakhovsky S.,2.18,1.68,1st Round,2.0,0.0,2019
Qatar Exxon Mobil Open,1/1/2019,Lajovic D.,Mannarino A.,1.72,2.11,1st Round,2.0,0.0,2019
