name,followers_2019,followers_2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Acasuso J.,1000,1001,185,186,0,0,0,0,0,0,0,0,0
Aguilar J.,1000,1001,220,133,261,117,115,57,0,0,0,0,0
Ahouda A.,1000,1001,0,0,0,0,7,15,18,30,1,1,1
Ajdukovic D.,1000,1001,0,0,0,0,0,0,0,0,29,39,139
Al Ghareeb M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Al Mutawa J.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Alawadhi O.,1000,1001,0,0,0,0,0,0,1,1,0,0,0
Albot R.,1338,11934,61,167,212,311,306,485,614,616,592,1067,772
Alcaide G.,1000,1001,255,101,0,0,0,0,0,0,0,0,0
Alcaraz C.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Ali Mutawa J.M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Almagro N.,1000,1001,2160,2380,2515,2290,700,694,1013,363,0,0,0
Altamirano C.,1000,1001,0,0,0,0,28,24,3,24,173,113,101
Altmaier D.,1000,1001,0,0,0,0,12,22,108,186,65,145,501
Alund M.,1000,1001,125,255,466,432,204,0,3,0,0,0,0
Alves T.,1000,1001,369,123,441,88,0,0,0,0,0,0,0
Amritraj P.,1000,1001,66,0,51,117,0,0,0,0,0,0,0
Ancic M.,1000,1001,67,0,0,0,0,0,0,0,0,0,0
Anderson K.,133952,127906,813,1235,1065,1685,2080,2475,735,2480,4710,610,825
Anderson O.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Andreev A.,1000,1001,0,0,0,0,0,0,1,0,0,31,52
Andreev I.,1000,1001,622,494,511,10,0,0,0,0,0,0,0
Andreozzi G.,4662,6455,29,97,297,393,268,195,528,265,680,421,389
Androic T.,1000,1001,13,115,144,169,167,60,0,0,0,0,0
Andujar P.,19185,30870,683,920,915,946,950,770,94,1,656,867,1024
Aragone J.C.,1000,1001,0,0,0,0,0,0,23,72,235,150,165
Aranguren J.M.,1000,1001,105,62,61,3,0,0,0,0,0,0,0
Arevalo M.,1000,1001,5,30,104,85,145,181,306,267,223,108,82
Arguello F.,1000,1001,141,170,245,454,377,431,92,189,258,137,117
Arnaboldi A.,1000,1001,154,169,119,228,281,360,194,222,294,128,203
Artunedo Martinavarro A.,1000,1001,3,67,44,126,56,37,85,75,140,69,68
Arvidsson I.,1000,1001,0,2,29,28,72,41,56,17,0,0,0
Ascione T.,1000,1001,68,0,0,0,0,0,0,0,0,0,0
Auger-Aliassime F.,1000,1001,0,0,0,0,0,32,48,342,525,1636,2216
Authom M.,1000,1001,14,215,351,168,232,191,190,46,42,0,0
Avidzba A.,1000,1001,0,0,0,0,0,1,10,9,85,81,80
Awadhy O.,1000,1001,4,0,2,0,1,2,0,0,0,0,0
Bachinger M.,1000,1001,282,587,462,327,378,231,76,287,439,218,189
Baez S.,1000,1001,0,0,0,0,0,0,1,6,14,89,149
Baghdatis M.,1000,1001,1785,940,1070,605,610,933,1140,564,460,285,0
Bagnis F.,1000,1001,195,330,200,456,443,428,835,285,350,405,531
Bai Y.,1000,1001,119,0,38,38,99,236,49,87,127,229,213
Baker B.,1000,1001,0,77,756,118,0,0,213,6,0,0,0
Baker J.,1000,1001,112,199,194,65,0,0,0,0,0,0,0
Balazs A.,1000,1001,279,87,177,63,4,0,155,258,277,418,774
Baldi F.,1000,1001,0,0,2,20,20,19,32,110,319,198,225
Ball C.,1000,1001,364,112,71,14,0,4,0,0,0,0,0
Balleret B.,1000,1001,79,139,36,176,68,79,34,0,0,0,0
Baluda V.,1000,1001,18,93,95,109,119,19,46,8,6,0,0
Bangoura S.,1000,1001,13,12,47,27,57,170,197,83,111,127,121
Barrere G.,1000,1001,0,1,8,28,92,198,212,43,407,648,647
Barrientos N.,1000,1001,11,63,133,115,164,170,115,0,0,19,21
Barrios M.,1000,1001,0,0,1,0,0,0,0,0,0,0,0
Barrios Vera M.T.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Barton M.,1000,1001,11,28,86,181,63,167,282,51,11,0,0
Basic M.,4347,3954,55,158,184,188,184,432,318,399,635,137,134
Basilashvili N.,36601,95432,31,41,182,85,293,525,618,826,1795,1450,1395
Basso A.,1000,1001,0,0,3,30,65,41,56,139,70,44,45
Bautista Agut R.,46046,62562,314,275,648,810,2110,1480,2350,2015,1605,2540,2710
Bautista R.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Beck A.,1000,1001,347,580,80,273,493,112,125,0,0,0,0
Beck K.,1000,1001,549,567,395,118,101,0,2,0,0,0,0
Becker B.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Bedene A.,11598,15787,48,307,583,573,370,939,592,993,780,905,1045
Bega A.,1000,1001,9,39,74,78,66,148,156,134,150,85,121
Bellier A.,1000,1001,0,0,0,0,4,40,49,30,35,37,54
Bellotti R.,1000,1001,4,86,142,137,78,215,231,134,50,10,0
Bellucci T.,1000,1001,1355,1060,1112,450,753,1105,771,531,219,125,185
Belyaev I.,1000,1001,149,90,5,0,0,0,0,0,0,0,0
Bemelmans R.,1000,1001,300,313,509,363,295,543,350,503,496,172,253
Benchetrit E.,1000,1001,0,0,0,0,0,0,5,98,164,227,255
Benneteau J.,1000,1001,965,900,1075,1160,1365,65,459,855,0,0,0
Berankis R.,1000,1001,587,460,501,433,605,641,630,407,507,836,889
Berdych T.,37888,340430,3955,3700,4680,4180,4600,4620,3060,2095,715,0,0
Bergs Z.,1000,1001,0,0,0,0,0,0,1,11,105,46,86
Berlocq C.,1000,1001,725,801,720,1020,700,530,617,540,410,57,0
Berrer M.,1000,1001,835,567,401,397,427,511,318,0,0,0,0
Berrettini M.,1833,973156,0,0,0,0,0,66,92,410,932,2870,3075
Bester P.,1000,1001,162,100,48,99,73,164,157,26,0,0,0
Betov S.,1000,1001,108,50,72,81,18,45,56,8,117,3,0
Bhambri Y.,1000,1001,60,122,220,258,196,610,65,509,420,0,0
Biryukov M.,1000,1001,2,13,58,142,28,0,0,0,0,0,0
Blake J.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Blancaneaux G.,1000,1001,0,0,0,0,1,16,45,164,91,123,178
Blanch U.,1000,1001,0,0,0,0,0,1,3,66,125,94,224
Bloomfield R.,1000,1001,116,68,92,16,2,0,0,0,0,0,0
Bogaerts R.,1000,1001,0,0,2,5,4,0,0,0,0,0,0
Bogdanovic A.,1000,1001,154,139,136,57,0,0,0,0,0,0,0
Bogomolov A.,1000,1001,327,1135,447,605,160,0,0,0,0,0,0
Bohli S.,1000,1001,402,224,109,76,0,0,0,0,0,0,0
Bolelli S.,1000,1001,532,404,623,190,810,790,85,305,382,116,65
Bolt A.,1000,1001,3,11,107,77,242,194,53,269,351,328,380
Bonzi B.,1000,1001,0,0,0,0,9,73,127,270,160,107,388
Bopanna R.,1000,1001,32,36,0,3,0,0,0,0,0,0,0
Borges N.,1000,1001,0,0,0,0,1,5,4,58,80,29,99
Borvanov R.,1000,1001,86,194,119,56,0,0,0,0,0,0,0
Bossel A.,1000,1001,120,82,94,82,143,126,78,59,2,1,1
Bourchier H.,1000,1001,0,0,2,2,21,74,17,60,30,140,135
Bourgue M.,1000,1001,0,15,23,95,192,225,314,344,180,208,281
Bozoljac I.,1000,1001,371,213,70,198,240,21,0,0,0,0,0
Brancaccio R.,1000,1001,0,0,0,0,0,5,27,53,162,112,106
Brands D.,1000,1001,541,515,367,836,144,358,348,149,315,66,27
