name,hand,date_of_birth,country,height
Acasuso J.,R,19821020,ARG,190
Aguilar J.,R,19850108,CHI,178
Ahouda A.,U,19970911,MAR,177
Ajdukovic D.,R,20010205,CRO,177
Al Ghareeb M.,U,19840420,KUW,177
Al Mutawa J.,U,19940521,QAT,177
Alawadhi O.,R,19920217,KUW,177
Albot R.,R,19891111,MDA,175
Alcaide G.,R,19860527,ESP,188
Alcaraz C.,R,nan,ESP,177
Ali Mutawa J.M.,U,19820412,ALG,177
Almagro N.,R,19850821,ESP,183
Altamirano C.,R,19951207,USA,177
Altmaier D.,R,19980912,GER,177
Alund M.,R,19851226,ARG,177
Alves T.,R,19820522,BRA,178
Amritraj P.,R,19831002,IND,188
Ancic M.,R,19840330,CRO,196
Anderson K.,R,19860518,RSA,203
Anderson O.,U,nan,USA,177
Andreev A.,R,20010512,BUL,177
Andreev I.,R,19830714,RUS,185
Andreozzi G.,R,19910805,ARG,177
Androic T.,R,19911228,CRO,177
Andujar P.,R,19860123,ESP,180
Aragone J.C.,R,19950628,USA,177
Aranguren J.M.,R,19831007,ARG,177
Arevalo M.,R,19901017,ESA,191
Arguello F.,R,19920804,ARG,177
Arnaboldi A.,L,19871227,ITA,177
Artunedo Martinavarro A.,R,19930914,ESP,177
Arvidsson I.,R,19920806,SWE,177
Ascione T.,R,19810117,FRA,188
Auger-Aliassime F.,R,20000808,CAN,193
Authom M.,R,19870329,BEL,177
Avidzba A.,R,20000224,RUS,177
Awadhy O.,R,19820116,UAE,177
Bachinger M.,R,19870402,GER,188
Baez S.,R,20001228,ARG,177
Baghdatis M.,R,19850617,CYP,183
Bagnis F.,L,19900227,ARG,183
Bai Y.,R,19890521,CHN,177
Baker B.,R,19850430,USA,190
Baker J.,R,19860805,GBR,183
Balazs A.,R,19880927,HUN,180
Baldi F.,R,19960110,ITA,177
Ball C.,L,19870620,AUS,198
Balleret B.,R,19830115,MON,185
Baluda V.,R,19920930,RUS,177
Bangoura S.,R,19911118,USA,177
Barrere G.,R,19940216,FRA,183
Barrientos N.,R,19870424,COL,175
Barrios M.,U,19940317,ARG,177
Barrios Vera M.T.,U,19940317,ARG,177
Barton M.,R,19911218,AUS,177
Basic M.,R,19910712,BIH,188
Basilashvili N.,R,19920223,GEO,185
Basso A.,L,19931008,ITA,177
Bautista Agut R.,R,19880414,ESP,183
Bautista R.,R,19880414,ESP,183
Beck A.,L,19860205,GER,190
Beck K.,R,19820403,SVK,180
Becker B.,R,19671122,GER,190
Bedene A.,R,19890718,SLO,181
Bega A.,R,19910111,ITA,177
Bellier A.,U,19961018,SUI,177
Bellotti R.,R,19910805,ITA,177
Bellucci T.,L,19871230,BRA,188
Belyaev I.,R,19900809,RUS,180
Bemelmans R.,L,19880114,BEL,183
Benchetrit E.,R,19981002,FRA,177
Benneteau J.,R,19811220,FRA,185
Berankis R.,R,19900621,LTU,175
Berdych T.,R,19850917,CZE,196
Bergs Z.,R,19990603,BEL,177
Berlocq C.,R,19830203,ARG,183
Berrer M.,L,19800701,GER,193
Berrettini M.,R,19960412,ITA,196
Bester P.,R,19881006,CAN,188
Betov S.,R,19871015,BLR,177
Bhambri Y.,R,19920704,IND,183
Biryukov M.,R,19920428,RUS,177
Blake J.,R,19670714,USA,178
Blancaneaux G.,R,19980808,FRA,177
Blanch U.,R,19980325,USA,177
Bloomfield R.,R,19830427,GBR,185
Bogaerts R.,U,19931223,BEL,177
Bogdanovic A.,L,19840522,GBR,183
Bogomolov A.,R,19830423,RUS,178
Bohli S.,R,19830725,SUI,185
Bolelli S.,R,19851008,ITA,183
Bolt A.,L,19930105,AUS,177
Bonzi B.,R,19960609,FRA,177
Bopanna R.,R,19800304,IND,190
Borges N.,R,19970219,POR,177
Borvanov R.,R,19820331,MDA,183
Bossel A.,L,19861228,SUI,177
Bourchier H.,R,19960124,AUS,177
Bourgue M.,R,19940118,FRA,177
Bozoljac I.,R,19850802,SRB,193
Brancaccio R.,U,19970504,ITA,177
Brands D.,R,19870717,GER,196
Britton D.,R,19910317,USA,193
Broady L.,L,19940104,GBR,177
Brooksby J.,R,20001026,USA,177
Brown D.,R,19701214,USA,177
Brugues-Davi A.,L,19850305,ESP,183
Bryde T.,R,19990824,USA,177
Brzezicki J.P.,R,19820412,ARG,178
Bubka S.,R,19870210,UKR,188
Bublik A.,R,19970617,KAZ,196
Buchanan C.,R,19910604,USA,177
Burquier G.,L,19840708,FRA,177
Cabal J.S.,R,19860425,COL,185
Cachin P.,R,19950412,ARG,177
Cacic N.,R,19901207,SRB,177
Capdeville P.,R,19830402,CHI,190
Carballes Baena R.,R,19930323,ESP,183
Carreno Busta P.,R,19910712,ESP,188
Carreno-Busta P.,R,19910712,ESP,188
Caruana L.,R,19980122,USA,177
Caruso S.,R,19921215,ITA,185
Catarina L.,R,19960826,MON,177
Cazaux A.,R,20020823,FRA,177
Cecchinato M.,R,19920930,ITA,185
Celikbilek A.,U,19960907,TUR,177
Cermak F.,R,19761114,CZE,193
Cerundolo F.,R,19980813,ARG,177
Cerundolo J.M.,L,20011115,ARG,177
Cervantes I.,R,19891130,ESP,177
Cervenak P.,R,19870701,SVK,191
Chardy J.,R,19870212,FRA,188
Chela J.I.,R,19790830,ARG,190
Chiudinelli M.,R,19810910,SUI,185
Choinski J.,R,19960610,GER,177
Chrysochos P.,R,19960408,CYP,177
Chung H.,R,19761125,KOR,177
Chvojka E.,L,19861026,CAN,177
Cilic M.,R,19880928,CRO,198
Ciorcila P.,R,19960920,ROU,177
Cipolla F.,R,19831020,ITA,173
Clarke J.,U,19861016,USA,177
Clement A.,R,19771217,FRA,173
Clezar G.,R,19921231,BRA,183
Cobolli F.,U,20020506,ITA,177
Collarini A.,L,19920131,ARG,177
Copil M.,R,19901017,ROU,193
Coppejans K.,R,19940207,BEL,180
Coria F.,R,19920309,ARG,177
Coric B.,R,19961114,CRO,188
Corrie E.,U,19880221,GBR,177
Couacaud E.,R,19950301,FRA,177
Cox D.,R,19900928,GBR,170
Cressy M.,R,19970508,USA,198
Crivoi V.,R,19820525,ROU,185
Crugnola M.,R,19830524,ITA,188
Cuevas P.,R,19860101,URU,180
Dabul B.,L,19840224,ARG,170
Dancevic F.,R,19840926,CAN,185
Daniel M.,R,19651121,ISR,188
Daniel T.,R,19930127,JPN,191
Darcis S.,R,19840313,BEL,178
Dasnieres de Veigy J.,L,19870105,FRA,177
Davidovich Fokina A.,R,19990605,ESP,183
Davydenko N.,R,19810602,RUS,178
Davydenko P.,U,19920902,RUS,177
De Bakker T.,R,19880919,NED,193
De Greef A.,R,19630804,ITA,175
De Heart R.,R,19770419,NED,177
De Loore J.,R,19630202,USA,188
De Minaur A.,R,19630804,ITA,175
De Paula F.,R,19541030,PUR,177
De Schepper K.,L,19870529,FRA,203
De Voest R.,R,19770419,NED,177
Decoud S.,L,19810918,ARG,178
Deen Heshaam A.,R,19931224,MAS,177
Deheart R.,L,19840103,USA,183
Del Bonis F.,U,18930000,MEX,177
Del Potro J. M.,U,19210125,ITA,177
Del Potro J.M.,U,19700606,ESP,177
Delbonis F.,L,19901005,ARG,190
Delgado R.,R,19761114,PAR,185
Delic A.,R,19820630,BIH,196
Delic M.,R,19930929,CRO,196
Dellien H.,R,19930616,BOL,180
Demoliner M.,R,19890118,BRA,177
Dent T.,R,19810424,USA,188
Desein N.,R,19870609,BEL,190
Devilder N.,L,19800325,FRA,173
Devvarman S.,R,19850213,IND,180
Di Mauro A.,L,19770809,ITA,185
Diaz Acosta F.,U,nan,COL,177
Diez S.,R,19910317,CAN,177
Dimitrov G.,R,19910516,BUL,188
Djere L.,R,19950602,SRB,188
Djokovic M.,R,19910820,SRB,177
Djokovic N.,R,19870522,SRB,188
Dodig I.,R,19850102,CRO,183
Dolgopolov A.,R,19881107,UKR,180
Dolgopolov O.,R,19640710,UKR,177
Domingues J.,R,19931005,POR,178
Donaldson J.,R,19961009,USA,177
Donati M.,R,19950228,ITA,177
Donski A.,R,19980801,CAN,177
Donskoy E.,R,19900509,RUS,185
Draper J.,U,nan,ESP,177
Dubrivnyy A.,R,19990131,RUS,177
Duckworth J.,R,19920121,AUS,183
Duclos P.L.,R,19860108,CAN,177
Dustov F.,R,19860522,UZB,196
Dutra Da Silva R.,R,19840203,BRA,178
Dutra Silva R.,R,19840203,BRA,178
Dzumhur D.,R,19920520,BIH,172
Ebden M.,R,19871126,AUS,188
Edmund K.,R,19950108,GBR,188
Ehrat S.,R,19910418,SUI,180
El Amrani R.,R,19880519,MAR,185
El Aynaoui Y.,R,19710912,MAR,193
Eleskovic E.,R,19870508,SWE,177
Elgin M.,R,19811014,RUS,183
Elias G.,R,19901124,POR,178
Emmrich M.,L,19841217,GER,183
Eriksson M.,R,19891129,SWE,188
Erler A.,U,19971027,AUT,177
Escobar G.,L,19890120,ECU,178
Escobedo E.,R,19960704,USA,177
Estrella Burgos V.,R,19800802,DOM,173
Etcheverry T.,R,19990718,ARG,177
Eubanks C.,R,19960505,USA,177
Evans B.,R,19860408,USA,188
Evans D.,R,19900523,GBR,175
Eysseric J.,L,19900527,FRA,180
Fabbiano T.,R,19890526,ITA,177
Falla A.,L,19831114,COL,185
Fancutt T.,R,19340714,RSA,177
Farah R.,R,19870120,COL,193
Federer R.,R,19810808,SUI,185
Ferreira Silva F.,L,19950318,POR,177
Ferrer D.,R,19820402,ESP,175
Ferrero J.C.,R,19800212,ESP,183
Ficovich J.P.,R,19970124,ARG,177
Fidirko N.,R,19870615,BLR,177
Fischer M.,R,19860721,AUT,180
Fish M.,R,19811209,USA,188
Fleming C.,R,19840813,GBR,188
Fognini F.,R,19870524,ITA,178
Forejtek J.,R,20010310,CZE,177
Fraile G.,R,19780407,ESP,180
Fratangelo B.,R,19930719,USA,177
Fritz T.,R,19971028,USA,193
Fucsovics M.,R,19920208,HUN,188
Gabashvili T.,R,19850523,RUS,188
Gaio F.,R,19920305,ITA,177
Galan D.,R,19960618,COL,191
Galan D.E.,R,19960618,COL,191
Galdon P.,R,19851128,ARG,177
Galovic V.,R,19900919,ITA,177
Galvani S.,R,19770603,ITA,178
Gao X.,U,19940512,CHN,177
Garanganga T.,R,19900906,ZIM,177
Garcia-Lopez G.,R,19830604,ESP,188
Garin C.,R,19960530,CHI,185
Garza D.,R,19850408,MEX,177
Gasquet R.,R,19860618,FRA,185
Gaston H.,L,20000926,FRA,177
Gaudio G.,R,19781209,ARG,175
Gensse A.,R,19830810,FRA,177
Gerasimov E.,R,19921111,BLR,196
Ghedin R.,R,19851205,ITA,188
Ghem A.,R,19820529,BRA,193
Giannessi A.,L,19900530,ITA,183
Gicquel M.,R,19770330,FRA,188
Gigounon G.,R,19890420,BEL,177
Gil F.,R,19850324,POR,178
Gimeno-Traver D.,R,19850807,ESP,185
Ginepri R.,R,19821007,USA,183
Giraldo S.,R,19871127,COL,188
Giron M.,R,19930724,USA,180
Giustino L.,R,19910910,ITA,177
Goffin D.,R,19901207,BEL,180
Gojo B.,R,19980227,CRO,177
Gojowczyk P.,R,19890715,GER,185
Golding O.,R,19930929,GBR,177
Golubev A.,R,19870722,KAZ,185
Gombos N.,R,19900813,SVK,193
Gomez A.,L,19600227,ECU,193
Gomez E.,R,19911128,ECU,177
Gomez L.,U,19950811,MEX,178
Gomez-Herrera C.,R,19681224,ARG,177
Gong M.X.,R,19870824,CHN,178
Gonzalez A.,R,19771009,ESP,177
Gonzalez F.,R,19551119,PAR,193
Gonzalez M.,R,19830720,ARG,175
Gonzalez S.,R,19830224,MEX,190
Goodall J.,R,19670123,GBR,178
Granollers G.,R,19890130,ESP,177
Granollers M.,R,19860412,ESP,190
Granollers Pujol G.,R,19890130,ESP,177
Granollers-Pujol G.,R,19890130,ESP,177
Gray A.,U,19841204,USA,177
Gremelmayr D.,L,19810816,GER,183
Grenier H.,R,19671204,FRA,190
Greul S.,R,19810413,GER,185
Griekspoor T.,R,19960702,NED,177
Grigelis L.,R,19910814,LTU,183
Grosjean S.,R,19780529,FRA,175
Groth S.,R,19871019,AUS,193
Guccione C.,L,19850730,AUS,201
Guez D.,R,19821208,FRA,185
Gulbis E.,R,19880830,LAT,190
Gunneswaran P.,L,19891112,IND,177
Gutierrez-Ferrol S.,R,19890305,ESP,177
Haas T.,R,19780403,GER,188
Haase R.,R,19870406,NED,190
Haider-Maurer A.,R,19870322,AUT,190
Hajek J.,R,19830807,CZE,180
Hajji A.,U,19901205,QAT,177
Halebian A.,L,19940608,USA,177
Halys Q.,R,19961026,FRA,177
Hamou M.,R,19950608,FRA,177
Hanescu V.,R,19810721,ROU,198
Hanfmann Y.,R,19911113,GER,193
Hank T.,U,19910930,MEX,188
Harris A.,R,19940307,AUS,177
Harris L.,R,19970224,RSA,193
Harrison C.,R,19940529,USA,177
Harrison R.,R,19920507,USA,183
Hemery C.,R,19950128,FRA,177
Herbert P.H.,R,19910318,FRA,188
Hernandez O.,R,19780410,ESP,180
Hernandez-Fernandez J.,U,19900313,DOM,183
Hernych J.,R,19790707,CZE,190
Hewitt L.,R,19810224,AUS,180
Hoang A.,R,19951104,FRA,177
Hocevar R.,R,19850505,BRA,180
Holmgren A.,R,19980422,DEN,177
Horansky F.,R,19930107,SVK,177
Hossam K.,R,19940408,EGY,177
Hrbaty D.,R,19780104,SVK,183
Huesler M.A.,L,19960624,SUI,177
Humbert U.,L,19980626,FRA,188
Hurkacz H.,R,19970211,POL,196
Huta Galung J.,R,19851006,NED,188
Idmbarek Y.,U,19861207,MAR,177
Ilhan M.,R,19870611,TUR,190
Ilkel C.,R,19950821,TUR,185
Im K.T.,R,19810106,KOR,185
Inglot D.,R,19860306,GBR,196
Isner J.,R,19850426,USA,206
Istomin D.,R,19860907,UZB,188
Ito T.,R,19880518,JPN,180
Ivashka I.,R,19940224,BLR,193
Janowicz J.,R,19901113,POL,203
Janvier M.,R,19961018,FRA,177
Jarry N.,R,19951011,CHI,198
Jasika O.,L,19970518,AUS,177
Jaziri M.,R,19840120,TUN,185
Jelenic P.,R,19870613,CRO,177
Jeong S.Y.,R,19930412,KOR,177
Johansson J.,R,19820701,SWE,198
Johnson S.,R,19891224,USA,188
Jones G.,R,19860401,NZL,183
Jouan R.,R,19850716,FRA,183
Jubb P.,R,19991031,GBR,177
Junaid R.,R,19810525,AUS,177
Jung J.,R,19890615,TPE,177
Junqueira D.,L,19801228,ARG,178
Kachmazov A.,R,20020817,RUS,177
Kadhe A.,R,19940107,IND,177
Kamke T.,R,19860521,GER,180
Karatsev A.,R,19930904,RUS,185
Karlovic I.,R,19790228,CRO,208
Karlovskiy E.,R,19940807,RUS,177
Kavcic B.,R,19870305,SLO,188
Kecmanovic M.,R,19990831,SRB,183
Kendrick R.,R,19791115,USA,190
Kern R.,R,19931003,GER,177
Khachanov K.,R,19960521,RUS,198
Khaddari H.,R,19910819,MAR,177
Kicker N.,R,19920816,ARG,177
Kiefer N.,R,19770705,GER,183
Kim K.,R,19780726,USA,180
Kindlmann D.,R,19820603,GER,183
King D.,R,19840515,NZL,190
King E.,L,19920325,USA,185
King K.,U,19910228,USA,177
King-Turner D.,R,19840515,NZL,190
Kirillov E.,R,19870714,RUS,177
Kirkin E.,R,19990127,TUR,177
Klaasen R.,R,19821016,RSA,180
Klahn B.,L,19900820,USA,190
Klec I.,R,19801128,SVK,183
Klein B.,R,19891231,AUS,183
Klein L.,R,19980322,SVK,177
Klizan M.,L,19890711,SVK,190
Knittel B.,L,19830808,GER,177
Knowle J.,L,19740429,AUT,188
Koellerer D.,R,19830817,AUT,180
Koepfer D.,L,19940429,GER,180
Kohlschreiber P.,R,19831016,GER,178
Kokkinakis T.,R,19960410,AUS,196
Kolar Z.,R,19961009,CZE,177
Kontinen H.,R,19900619,FIN,191
Kopriva V.,U,19970615,CZE,177
Korda S.,R,20000705,USA,196
Korolev E.,R,19880214,KAZ,185
Kosakowski D.,R,19920221,USA,177
Kotov P.,R,19981118,RUS,177
Koubek S.,L,19770102,AUT,175
Kovalik J.,R,19921104,SVK,183
Kozlov S.,R,19980201,USA,177
Krajicek A.,L,19900616,USA,177
Krajinovic F.,R,19920227,SRB,185
Kravchuk K.,R,19850223,RUS,190
Krawietz K.,R,19920124,GER,190
Krstin P.,R,19940903,SRB,177
Krueger M.,R,19940112,USA,177
Kubler J.,R,19930519,AUS,177
Kubot L.,R,19820516,POL,190
Kudla D.,R,19920817,USA,180
Kudryavtsev A.,R,19851026,RUS,183
Kuhn N.,R,20000320,ESP,177
Kukushkin M.,R,19871226,KAZ,183
Kumantsov A.,R,19860804,RUS,177
Kunitsyn I.,R,19810930,RUS,180
Kutrovsky D.,R,19870827,BUL,177
Kuzmanov D.,R,19930728,BUL,183
Kuznetsov A.,R,19870205,USA,183
Kuznetsov Al.,R,19870205,USA,183
Kuznetsov An.,R,19870205,USA,183
Kwiatkowski T.S.,R,19950213,USA,177
Kwon S.W.,R,19971202,KOR,180
Kypson P.,R,19991028,USA,177
Kyrgios N.,R,19950427,AUS,193
Laaksonen H.,R,19920331,SUI,185
Lacko L.,R,19871103,SVK,185
Lajola D.,R,19890212,USA,177
Lajovic D.,R,19900630,SRB,180
Lama G.,R,19930427,CHI,180
Lamasine T.,R,19930305,FRA,177
Lammer M.,R,19820325,SUI,185
Langer N.,R,19900125,GER,177
Lapentti G.,R,19830125,ECU,193
Lapentti N.,R,19760813,ECU,188
Lazarov A.,R,19971106,BUL,177
Lazov A.,U,19900709,BUL,183
Ledovskikh M.,R,19860808,RUS,188
Lee D.H.,U,19870823,KOR,177
Lemke J.,R,19880125,AUS,177
Lenz J.,R,19930217,GER,177
Leshem E.,U,19970319,ISR,177
Lestienne C.,R,19920523,FRA,177
Levine J.,R,19630929,USA,178
Levy H.,R,19780805,ISR,185
Li Z.,R,19860920,CHN,185
Lin J.M.,R,19990415,CAN,177
Lindahl N.,R,19880731,AUS,183
Lindell C.,R,19911120,SWE,193
Linzer M.,R,19891102,AUT,177
Lisnard J.R.,R,19790925,MON,173
Ljubicic I.,R,19790319,CRO,193
Llodra M.,L,19800518,FRA,190
Lojda D.,L,19880308,CZE,177
Lokoli L.,R,19941018,FRA,177
Londero J.I.,R,19930815,ARG,177
Lopez F.,L,19810920,ESP,188
Lopez M.,R,19820731,ESP,175
Lopez Villasenor G.,R,19700529,ESP,177
