,Winner,Loser,size
0,Acasuso J.,Cuevas P.,1
1,Acasuso J.,Dolgopolov O.,1
2,Acasuso J.,Podlipnik H.,1
3,Ahouda A.,Granollers M.,1
4,Ajdukovic D.,Collarini A.,1
5,Albot R.,Almagro N.,1
6,Albot R.,Baghdatis M.,1
7,Albot R.,Bagnis F.,1
8,Albot R.,Barrere G.,1
9,Albot R.,Basilashvili N.,1
10,Albot R.,Bautista Agut R.,1
11,Albot R.,Bedene A.,2
12,Albot R.,Berankis R.,2
13,Albot R.,Carreno Busta P.,1
14,Albot R.,Cilic M.,1
15,Albot R.,Copil M.,1
16,Albot R.,Daniel T.,1
17,Albot R.,De Schepper K.,1
18,Albot R.,Delbonis F.,1
19,Albot R.,Dzumhur D.,1
20,Albot R.,Ebden M.,2
21,Albot R.,Elias G.,1
22,Albot R.,Escobedo E.,1
23,Albot R.,Evans D.,1
24,Albot R.,Fognini F.,1
25,Albot R.,Fratangelo B.,1
26,Albot R.,Fucsovics M.,1
27,Albot R.,Gulbis E.,1
28,Albot R.,Hanfmann Y.,1
29,Albot R.,Herbert P.H.,2
30,Albot R.,Hurkacz H.,1
31,Albot R.,Isner J.,1
32,Albot R.,Johnson S.,2
33,Albot R.,Karlovic I.,2
34,Albot R.,Kohlschreiber P.,1
35,Albot R.,Kokkinakis T.,1
36,Albot R.,Kovalik J.,1
37,Albot R.,Krajinovic F.,1
38,Albot R.,Kyrgios N.,1
39,Albot R.,Lajovic D.,1
40,Albot R.,Lazarov A.,1
41,Albot R.,Londero J.I.,1
42,Albot R.,Lorenzi P.,1
43,Albot R.,Lu Y.H.,1
44,Albot R.,Mannarino A.,1
45,Albot R.,Mathieu P.H.,1
46,Albot R.,Mcdonald M.,1
47,Albot R.,Mmoh M.,1
48,Albot R.,O Connell C.,1
49,Albot R.,Otte O.,1
50,Albot R.,Paire B.,1
51,Albot R.,Popko D.,1
52,Albot R.,Rune H.,1
53,Albot R.,Sandgren T.,2
54,Albot R.,Seppi A.,2
55,Albot R.,Shapovalov D.,1
56,Albot R.,Simon G.,1
57,Albot R.,Smith J.P.,1
58,Albot R.,Sonego L.,1
59,Albot R.,Sousa J.,1
60,Albot R.,Stakhovsky S.,1
61,Albot R.,Sugita Y.,1
62,Albot R.,Thompson J.,1
63,Albot R.,Tipsarevic J.,1
64,Albot R.,Troicki V.,1
65,Albot R.,Youzhny M.,1
66,Albot R.,Zekic M.,1
67,Alcaraz C.,Balazs A.,1
68,Alcaraz C.,Basilashvili N.,1
69,Alcaraz C.,Berrettini M.,1
70,Alcaraz C.,Evans D.,1
71,Alcaraz C.,Fucsovics M.,1
72,Alcaraz C.,Gasquet R.,1
73,Alcaraz C.,Giron M.,1
74,Alcaraz C.,Goffin D.,1
75,Alcaraz C.,Gojowczyk P.,1
76,Alcaraz C.,Krajinovic F.,1
77,Alcaraz C.,Lopez F.,1
78,Alcaraz C.,Mannarino A.,1
79,Alcaraz C.,Martin A.,1
80,Alcaraz C.,Milojevic N.,1
81,Alcaraz C.,Murray A.,1
82,Alcaraz C.,Norrie C.,1
83,Alcaraz C.,Popyrin A.,1
84,Alcaraz C.,Pouille L.,1
85,Alcaraz C.,Ramos-Vinolas A.,2
86,Alcaraz C.,Rinderknech A.,1
87,Alcaraz C.,Ruud C.,1
88,Alcaraz C.,Tsitsipas S.,1
89,Alcaraz C.,Uchiyama Y.,1
90,Alcaraz C.,Van De Zandschulp B.,1
91,Alcaraz C.,Zapata Miralles B.,1
92,Almagro N.,Acasuso J.,1
93,Almagro N.,Albot R.,1
94,Almagro N.,Alund M.,1
95,Almagro N.,Anderson K.,1
96,Almagro N.,Andreev I.,2
97,Almagro N.,Andujar P.,4
98,Almagro N.,Baghdatis M.,2
99,Almagro N.,Baker B.,1
100,Almagro N.,Becker B.,2
101,Almagro N.,Bellucci T.,2
102,Almagro N.,Benneteau J.,2
103,Almagro N.,Berdych T.,3
104,Almagro N.,Berlocq C.,3
105,Almagro N.,Blake J.,1
106,Almagro N.,Bolelli S.,1
107,Almagro N.,Capdeville P.,1
108,Almagro N.,Carreno Busta P.,1
109,Almagro N.,Chardy J.,4
110,Almagro N.,Chela J.I.,3
111,Almagro N.,Cilic M.,1
112,Almagro N.,Copil M.,1
113,Almagro N.,Cuevas P.,1
114,Almagro N.,Daniel T.,2
115,Almagro N.,Darcis S.,3
116,Almagro N.,Davydenko N.,2
117,Almagro N.,Del Bonis F.,1
118,Almagro N.,Delbonis F.,2
119,Almagro N.,Diez S.,1
120,Almagro N.,Dimitrov G.,1
121,Almagro N.,Dodig I.,2
122,Almagro N.,Dolgopolov O.,3
123,Almagro N.,Dutra Silva R.,1
124,Almagro N.,Elias G.,1
125,Almagro N.,Falla A.,1
126,Almagro N.,Ferrer D.,1
127,Almagro N.,Ferrero J.C.,2
128,Almagro N.,Fognini F.,1
129,Almagro N.,Fucsovics M.,1
130,Almagro N.,Galdon P.,1
131,Almagro N.,Garcia-Lopez G.,4
132,Almagro N.,Gasquet R.,3
133,Almagro N.,Gil F.,1
134,Almagro N.,Gimeno-Traver D.,5
135,Almagro N.,Giraldo S.,5
136,Almagro N.,Goffin D.,3
137,Almagro N.,Golubev A.,1
138,Almagro N.,Gonzalez M.,1
139,Almagro N.,Granollers M.,4
140,Almagro N.,Greul S.,2
141,Almagro N.,Haase R.,1
142,Almagro N.,Haider-Maurer A.,1
143,Almagro N.,Hajek J.,1
144,Almagro N.,Hanescu V.,4
145,Almagro N.,Hewitt L.,1
146,Almagro N.,Isner J.,1
147,Almagro N.,Janowicz J.,1
148,Almagro N.,Johnson S.,1
149,Almagro N.,Kamke T.,3
150,Almagro N.,Karlovic I.,2
151,Almagro N.,Klizan M.,2
152,Almagro N.,Kohlschreiber P.,5
153,Almagro N.,Kubot L.,4
154,Almagro N.,Kuznetsov An.,1
155,Almagro N.,Kyrgios N.,1
156,Almagro N.,Lajovic D.,1
157,Almagro N.,Lammer M.,1
158,Almagro N.,Ljubicic I.,1
159,Almagro N.,Lopez F.,1
160,Almagro N.,Lorenzi P.,4
161,Almagro N.,Machado R.,1
162,Almagro N.,Mahut N.,1
163,Almagro N.,Malisse X.,1
164,Almagro N.,Mannarino A.,1
165,Almagro N.,Marchenko I.,1
166,Almagro N.,Mathieu P.H.,1
167,Almagro N.,Mayer F.,1
168,Almagro N.,Mayer L.,4
169,Almagro N.,Melzer J.,2
170,Almagro N.,Minar I.,1
171,Almagro N.,Monaco J.,3
172,Almagro N.,Monfils G.,1
173,Almagro N.,Montanes A.,2
174,Almagro N.,Munoz-De La Nava D.,1
175,Almagro N.,Nadal R.,1
176,Almagro N.,Nieminen J.,4
177,Almagro N.,Nishikori K.,1
178,Almagro N.,Olaso G.,1
179,Almagro N.,Paire B.,2
180,Almagro N.,Pella G.,2
181,Almagro N.,Petzschner P.,1
182,Almagro N.,Przysiezny M.,1
183,Almagro N.,Querrey S.,6
184,Almagro N.,Ramirez C.,1
185,Almagro N.,Ramos A.,3
186,Almagro N.,Ramos-Vinolas A.,1
187,Almagro N.,Riba P.,1
188,Almagro N.,Robert S.,2
189,Almagro N.,Robredo T.,7
190,Almagro N.,Rochus O.,1
191,Almagro N.,Roger-Vasselin E.,3
192,Almagro N.,Rola B.,1
193,Almagro N.,Rosol L.,1
194,Almagro N.,Rubin N.,1
195,Almagro N.,Rufin G.,2
196,Almagro N.,Russell M.,2
197,Almagro N.,Ryderstedt M.,1
198,Almagro N.,Satral J.,1
199,Almagro N.,Schwank E.,1
200,Almagro N.,Sela D.,1
201,Almagro N.,Seppi A.,2
202,Almagro N.,Silva F.,1
203,Almagro N.,Simon G.,1
204,Almagro N.,Skugor F.,1
205,Almagro N.,Sock J.,2
206,Almagro N.,Soderling R.,2
207,Almagro N.,Soeda G.,1
208,Almagro N.,Sousa J.,1
209,Almagro N.,Souza J.,1
210,Almagro N.,Stakhovsky S.,2
211,Almagro N.,Starace P.,3
212,Almagro N.,Stepanek R.,1
213,Almagro N.,Sugita Y.,2
214,Almagro N.,Tipsarevic J.,2
215,Almagro N.,Troicki V.,1
216,Almagro N.,Tsonga J.W.,1
217,Almagro N.,Vanni L.,1
218,Almagro N.,Ventura S.,1
219,Almagro N.,Verdasco F.,5
220,Almagro N.,Vesely J.,2
221,Almagro N.,Vliegen K.,1
222,Almagro N.,Volandri F.,2
223,Almagro N.,Wawrinka S.,2
224,Almagro N.,Williams R.,1
225,Almagro N.,Youzhny M.,1
226,Almagro N.,Zeballos H.,3
227,Almagro N.,Zopp J.,1
228,Almagro N.,Zverev M.,1
229,Altmaier D.,Berrettini M.,1
230,Altmaier D.,Cecchinato M.,1
231,Altmaier D.,Djere L.,1
232,Altmaier D.,Estrella Burgos V.,1
233,Altmaier D.,Ilhan M.,1
234,Altmaier D.,Lajovic D.,1
235,Altmaier D.,Lopez F.,1
236,Altmaier D.,Mager G.,2
237,Altmaier D.,Moutet C.,1
238,Altmaier D.,Querrey S.,1
239,Altmaier D.,Struff J.L.,1
240,Alund M.,Chardy J.,1
