Location,Surface,Year,Tournament
Brisbane,Hard,2010,Brisbane International
Chennai,Hard,2010,Chennai Open
Doha,Hard,2010,Qatar Exxon Mobil Open
Auckland,Hard,2010,Heineken Open
Sydney,Hard,2010,Medibank International
Melbourne,Hard,2010,Australian Open
Johannesburg ,Hard,2010,SA Tennis Open
Santiago,Clay,2010,Movistar Open
Zagreb,Hard,2010,PBZ Zagreb Indoors
Costa Do Sauipe,Clay,2010,Brasil Open
Rotterdam,Hard,2010,ABN AMRO World Tennis Tournament
San Jose,Hard,2010,SAP Open
Buenos Aires,Clay,2010,Copa Telmex
Marseille,Hard,2010,Open 13
Memphis,Hard,2010,Regions Morgan Keegan Championships
Acapulco,Clay,2010,Abierto Mexicano
Delray Beach,Hard,2010,International Championships
Dubai ,Hard,2010,Dubai Tennis Championships
Indian Wells,Hard,2010,BNP Paribas Open
Miami,Hard,2010,Sony Ericsson Open
Casablanca,Clay,2010,Grand Prix Hassan II
Houston,Clay,2010,U.S. Men's Clay Court Championships
Monte Carlo,Clay,2010,Monte Carlo Masters
Barcelona,Clay,2010,Open Banco Sabadell
Rome,Clay,2010,Internazionali BNL d'Italia
Belgrade,Clay,2010,Serbia Open
Estoril ,Clay,2010,Estoril Open
Munich,Clay,2010,BMW Open
Madrid,Clay,2010,Mutua Madrileña Madrid Open
Nice,Clay,2010,Open de Nice Côte d’Azur
Paris,Clay,2010,French Open
Halle,Grass,2010,Gerry Weber Open
Queens Club,Grass,2010,AEGON Championships
Eastbourne,Grass,2010,AEGON International
's-Hertogenbosch,Grass,2010,Unicef Open
London,Grass,2010,Wimbledon
Newport,Grass,2010,Hall of Fame Championships
Bastad,Clay,2010,SkiStar Swedish Open
Stuttgart,Clay,2010,Mercedes Cup
Atlanta,Hard,2010,Atlanta Tennis Championships
Hamburg,Clay,2010,German Open Tennis Championships
Gstaad,Clay,2010,Allianz Suisse Open
Los Angeles,Hard,2010,Farmers Classic
Umag,Clay,2010,Studena Croatia Open
Washington,Hard,2010,Legg Mason Classic
Toronto,Hard,2010,Rogers Masters
Cincinnati,Hard,2010,Western & Southern Financial Group Masters
New Haven,Hard,2010,Pilot Pen Tennis
New York,Hard,2010,US Open
Bucharest,Clay,2010,Open Romania
Metz,Hard,2010,Open de Moselle
Bangkok,Hard,2010,Thailand Open
Kuala Lumpur,Hard,2010,Proton Malaysian Open
Beijing,Hard,2010,China Open
Tokyo,Hard,2010,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2010,Shanghai Masters
Moscow,Hard,2010,Kremlin Cup
Stockholm,Hard,2010,Stockholm Open
Montpellier,Hard,2010,Open Sud de France
St. Petersburg,Hard,2010,St. Petersburg Open
Vienna,Hard,2010,BA-CA Tennis Trophy
Basel,Hard,2010,Swiss Indoors
Valencia,Hard,2010,Valencia Open 500
Paris,Hard,2010,BNP Paribas Masters
London,Hard,2010,Masters Cup
Brisbane,Hard,2011,Brisbane International
Chennai,Hard,2011,Chennai Open
Doha,Hard,2011,Qatar Exxon Mobil Open
Auckland,Hard,2011,Heineken Open
Sydney,Hard,2011,Medibank International
Melbourne,Hard,2011,Australian Open
Johannesburg ,Hard,2011,SA Tennis Open
Santiago,Clay,2011,Movistar Open
Zagreb,Hard,2011,PBZ Zagreb Indoors
Costa Do Sauipe,Clay,2011,Brasil Open
Rotterdam,Hard,2011,ABN AMRO World Tennis Tournament
San Jose,Hard,2011,SAP Open
Buenos Aires,Clay,2011,Copa Claro
Marseille,Hard,2011,Open 13
Memphis,Hard,2011,Regions Morgan Keegan Championships
Acapulco,Clay,2011,Abierto Mexicano
Delray Beach,Hard,2011,International Championships
Dubai ,Hard,2011,Dubai Tennis Championships
