Rafael Nadal,12349083
Roger Federer,8796846
Novak Djokovic,9465474
Juan Martin del Potro,1867755
Andy Murray,1802054
Nick Kyrgios,1749490
Stanislas Wawrinka,1246096
Grigor Dimitrov,1026272
Alexander Zverev,1475925
Dominic Thiem,1425917
Kei Nishikori,540863
Stefanos Tsitsipas,1465164
Gael Monfils,826242
Tomas Berdych,340430
Milos Raonic,350576
Fabio Fognini,586479
Diego Schwartzman,679943
Denis Shapovalov,529807
Fernando Verdasco,285325
David Goffin,287210
Feliciano Lopez,237901
Borna Coric,240511
Marin Čilić,205841
John Isner,196141
Lucas Pouille,172165
Benoit Paire,396219
Richard Gasquet,140338
Hyeon Chung,102
Kevin Anderson,127906
Karen Khachanov,255535
Alex De Minaur,223608
Frances Tiafoe,208500
Marco Cecchinato,86622
Guido Pella,170676
Pierre-Hugues Herbert,107810
Kyle Edmund,86357
Vasek Pospisil,92536
Taylor Fritz,147999
Nico Jarry,97182
Jeremy Chardy,74914
Pablo Carreño,130340
João Sousa,62169
Andreas Seppi,67808
Pablo Cuevas,62562
Roberto Bautista Agut,116449
Mischa Zverev,62644
Medvedev Daniil,712339
Malek Jaziri,42437
Cristian Garin,168206
Nikoloz Basilashvili,95432
