Serena Williams,13815902
Maria Sharapova,4164135
Eugenie Bouchard,2120271
Caroline Wozniacki,1423915
Venus Williams,1415322
Simona Halep,1690489
Garbiñe Muguruza,879940
Angelique Kerber,676216
Victoria Azarenka,700362
Monica Puig,532850
Petra Kvitová,626125
Dominika Cibulkova,492347
Elina Svitolina,830482
Sloane Stephens,529229
Karolina Pliskova,439226
Kristina Mladenovic,344205
Belinda Bencic,390086
Camila Giorgi,511027
Jeļena Ostapenko,176942
Madison Keys,201131
Caroline Garcia,166385
Daria Kasatkina,195804
Julia Görges,159793
