Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets
Dimitrov G.,Nishioka Y.,1.35,3.18,1st Round,2.0,0.0
Raonic M.,Bedene A.,1.22,4.26,1st Round,2.0,0.0
Kecmanovic M.,Mayer L.,1.63,2.28,1st Round,2.0,0.0
Millman J.,Sandgren T.,1.4,2.95,1st Round,2.0,1.0
Uchiyama Y.,Humbert U.,2.69,1.47,1st Round,2.0,0.0
Kudla D.,Fritz T.,2.7,1.47,1st Round,2.0,1.0
Chardy J.,Struff J.L.,2.19,1.68,1st Round,2.0,1.0
Murray A.,Duckworth J.,1.34,3.26,1st Round,2.0,0.0
Kyrgios N.,Harrison R.,1.44,2.8,1st Round,2.0,1.0
Tsonga J.W.,Kokkinakis T.,2.27,1.64,1st Round,2.0,0.0
De Minaur A.,Popyrin A.,1.2,4.55,1st Round,2.0,0.0
Thompson J.,Bolt A.,1.36,3.14,1st Round,2.0,0.0
Dimitrov G.,Millman J.,1.43,2.82,2nd Round,2.0,0.0
Uchiyama Y.,Edmund K.,4.26,1.22,2nd Round,2.0,0.0
Nishikori K.,Kudla D.,1.16,5.17,2nd Round,2.0,0.0
Raonic M.,Kecmanovic M.,1.21,4.48,2nd Round,2.0,0.0
Chardy J.,Kyrgios N.,3.11,1.37,2nd Round,2.0,1.0
Medvedev D.,Murray A.,1.88,1.93,2nd Round,2.0,0.0
De Minaur A.,Thompson J.,1.38,3.06,2nd Round,2.0,0.0
Tsonga J.W.,Daniel T.,1.27,3.84,2nd Round,2.0,0.0
Chardy J.,Uchiyama Y.,1.61,2.34,Quarterfinals,2.0,1.0
Nishikori K.,Dimitrov G.,1.65,2.26,Quarterfinals,2.0,0.0
Medvedev D.,Raonic M.,2.04,1.79,Quarterfinals,2.0,1.0
Tsonga J.W.,De Minaur A.,2.42,1.57,Quarterfinals,2.0,0.0
Nishikori K.,Chardy J.,1.17,5.11,Semifinals,2.0,0.0
Medvedev D.,Tsonga J.W.,1.67,2.23,Semifinals,2.0,0.0
Nishikori K.,Medvedev D.,1.6,2.36,The Final,2.0,1.0
Bautista Agut R.,Berrettini M.,1.35,3.23,1st Round,2.0,0.0
Jarry N.,Haase R.,2.05,1.77,1st Round,2.0,1.0
Verdasco F.,Lorenzi P.,1.24,4.07,1st Round,2.0,0.0
Berdych T.,Kohlschreiber P.,2.44,1.59,1st Round,2.0,0.0
Basilashvili N.,Ramos-Vinolas A.,1.45,2.75,1st Round,2.0,1.0
Rublev A.,Seppi A.,1.5,2.59,1st Round,2.0,0.0
Marterer M.,Gojowczyk P.,2.09,1.74,1st Round,2.0,0.0
Berankis R.,Goffin D.,3.32,1.33,1st Round,2.0,1.0
Pella G.,Ilkel C.,1.2,4.49,1st Round,2.0,0.0
Cecchinato M.,Stakhovsky S.,2.18,1.68,1st Round,2.0,0.0
Lajovic D.,Mannarino A.,1.72,2.11,1st Round,2.0,0.0
Garcia-Lopez G.,Zayid M.S.,1.02,17.2,1st Round,2.0,0.0
Wawrinka S.,Khachanov K.,2.89,1.41,1st Round,2.0,0.0
Fucsovics M.,Copil M.,1.64,2.26,1st Round,2.0,0.0
Djokovic N.,Dzumhur D.,1.03,12.85,1st Round,2.0,0.0
Herbert P.H.,Thiem D.,3.77,1.27,1st Round,2.0,0.0
Lajovic D.,Berankis R.,1.72,2.12,2nd Round,2.0,1.0
Bautista Agut R.,Garcia-Lopez G.,1.23,4.2,2nd Round,2.0,0.0
Wawrinka S.,Jarry N.,1.37,3.1,2nd Round,2.0,0.0
Djokovic N.,Fucsovics M.,1.03,12.51,2nd Round,2.0,1.0
Cecchinato M.,Pella G.,2.03,1.78,2nd Round,,
Herbert P.H.,Marterer M.,1.69,2.17,2nd Round,2.0,1.0
Basilashvili N.,Rublev A.,2.0,1.81,2nd Round,2.0,0.0
Berdych T.,Verdasco F.,1.71,2.14,2nd Round,2.0,1.0
Bautista Agut R.,Wawrinka S.,2.1,1.75,Quarterfinals,2.0,0.0
Djokovic N.,Basilashvili N.,1.07,8.78,Quarterfinals,2.0,1.0
Berdych T.,Herbert P.H.,1.49,2.67,Quarterfinals,2.0,0.0
Cecchinato M.,Lajovic D.,2.53,1.53,Quarterfinals,2.0,0.0
Bautista Agut R.,Djokovic N.,4.95,1.18,Semifinals,2.0,1.0
Berdych T.,Cecchinato M.,1.45,2.78,Semifinals,2.0,0.0
Bautista Agut R.,Berdych T.,1.6,2.37,The Final,2.0,1.0
Darcis S.,Carballes Baena R.,2.35,1.59,1st Round,2.0,0.0
Munar J.,Albot R.,1.94,1.86,1st Round,2.0,0.0
Donskoy E.,Andujar P.,1.51,2.53,1st Round,2.0,1.0
Mmoh M.,Gunneswaran P.,1.74,2.09,1st Round,2.0,0.0
Gulbis E.,Sousa P.,1.35,3.19,1st Round,2.0,1.0
Karlovic I.,Auger-Aliassime F.,2.16,1.7,1st Round,2.0,0.0
Bolelli S.,Istomin D.,2.11,1.72,1st Round,2.0,0.0
Ivashka I.,Hurkacz H.,2.24,1.65,1st Round,2.0,1.0
Vesely J.,Hoang A.,1.88,1.92,1st Round,2.0,1.0
Paire B.,Monteiro T.,1.34,3.07,1st Round,2.0,0.0
Ramanathan R.,Granollers M.,2.3,1.61,1st Round,2.0,1.0
Djere L.,Kadhe A.,1.25,3.96,1st Round,2.0,0.0
Karlovic I.,Donskoy E.,1.66,2.22,2nd Round,2.0,0.0
Gulbis E.,Chung H.,3.25,1.34,2nd Round,2.0,0.0
Paire B.,Vesely J.,1.54,2.48,2nd Round,2.0,0.0
Anderson K.,Djere L.,1.32,3.31,2nd Round,2.0,0.0
Munar J.,Bolelli S.,2.08,1.75,2nd Round,2.0,0.0
Darcis S.,Mmoh M.,2.42,1.56,2nd Round,2.0,1.0
Simon G.,Ivashka I.,1.45,2.74,2nd Round,2.0,1.0
Jaziri M.,Ramanathan R.,1.94,1.86,2nd Round,2.0,1.0
Karlovic I.,Gulbis E.,2.12,1.73,Quarterfinals,2.0,0.0
Darcis S.,Jaziri M.,1.82,2.0,Quarterfinals,2.0,0.0
Anderson K.,Munar J.,1.3,3.57,Quarterfinals,2.0,0.0
Simon G.,Paire B.,1.56,2.44,Quarterfinals,2.0,1.0
Karlovic I.,Darcis S.,1.53,2.53,Semifinals,2.0,1.0
Anderson K.,Simon G.,1.39,3.03,Semifinals,2.0,0.0
Anderson K.,Karlovic I.,1.27,3.83,The Final,2.0,1.0
Fritz T.,Copil M.,1.59,2.34,1st Round,2.0,1.0
Kohlschreiber P.,Klahn B.,1.48,2.64,1st Round,2.0,0.0
Struff J.L.,Djere L.,1.46,2.72,1st Round,1.0,0.0
Norrie C.,Paire B.,1.66,2.23,1st Round,2.0,0.0
Sandgren T.,Marterer M.,2.48,1.54,1st Round,2.0,0.0
Berrettini M.,Mcdonald M.,1.8,2.01,1st Round,2.0,0.0
Sousa J.,Shapovalov D.,2.71,1.47,1st Round,2.0,1.0
Mayer L.,Johnson S.,2.56,1.51,1st Round,2.0,0.0
Ferrer D.,Haase R.,1.72,2.12,1st Round,2.0,0.0
Gojowczyk P.,Pella G.,1.76,2.06,1st Round,2.0,1.0
Statham J.,Chung H.,7.07,1.1,1st Round,2.0,0.0
Humbert U.,Cuevas P.,1.61,2.32,1st Round,2.0,0.0
Fritz T.,Isner J.,2.4,1.58,2nd Round,2.0,0.0
Sandgren T.,Cecchinato M.,1.63,2.28,2nd Round,2.0,0.0
Mayer L.,Berrettini M.,2.4,1.58,2nd Round,2.0,1.0
Fognini F.,Gojowczyk P.,1.61,2.32,2nd Round,2.0,1.0
Kohlschreiber P.,Humbert U.,1.59,2.36,2nd Round,2.0,0.0
Norrie C.,Sousa J.,1.57,2.4,2nd Round,2.0,0.0
Carreno Busta P.,Ferrer D.,2.53,1.52,2nd Round,0.0,0.0
Struff J.L.,Statham J.,1.21,4.48,2nd Round,2.0,0.0
Sandgren T.,Mayer L.,1.67,2.23,Quarterfinals,2.0,0.0
Kohlschreiber P.,Fognini F.,1.53,2.54,Quarterfinals,2.0,0.0
Norrie C.,Fritz T.,1.82,2.01,Quarterfinals,2.0,0.0
Struff J.L.,Carreno Busta P.,1.8,2.02,Quarterfinals,2.0,1.0
Sandgren T.,Kohlschreiber P.,2.9,1.42,Semifinals,2.0,0.0
Norrie C.,Struff J.L.,1.64,2.27,Semifinals,2.0,1.0
Sandgren T.,Norrie C.,2.18,1.7,The Final,2.0,0.0
Klizan M.,Popyrin A.,1.68,2.18,1st Round,2.0,1.0
Thompson J.,Mannarino A.,1.63,2.28,1st Round,2.0,0.0
Querrey S.,Jaziri M.,1.36,3.16,1st Round,1.0,0.0
Opelka R.,Ramos-Vinolas A.,1.59,2.36,1st Round,2.0,0.0
De Minaur A.,Lajovic D.,1.29,3.59,1st Round,2.0,0.0
Andreozzi G.,Ebden M.,4.2,1.22,1st Round,2.0,1.0
Nishioka Y.,Harrison R.,1.72,2.13,1st Round,2.0,0.0
Seppi A.,Chardy J.,2.43,1.56,1st Round,2.0,1.0
Garcia-Lopez G.,Kudla D.,2.07,1.76,1st Round,2.0,0.0
Rublev A.,Pouille L.,1.53,2.5,1st Round,2.0,0.0
Millman J.,Tiafoe F.,1.61,2.33,1st Round,2.0,1.0
Fucsovics M.,Duckworth J.,1.36,3.15,1st Round,2.0,1.0
Thompson J.,Daniel T.,1.47,2.69,2nd Round,2.0,1.0
Nishioka Y.,Rublev A.,2.4,1.57,2nd Round,2.0,0.0
De Minaur A.,Opelka R.,1.17,5.39,2nd Round,2.0,0.0
Schwartzman D.,Garcia-Lopez G.,1.58,2.4,2nd Round,2.0,0.0
Seppi A.,Klizan M.,1.81,2.0,2nd Round,2.0,0.0
Tsitsipas S.,Andreozzi G.,1.14,5.64,2nd Round,2.0,0.0
Millman J.,Fucsovics M.,2.07,1.76,2nd Round,2.0,0.0
Simon G.,Querrey S.,1.93,1.88,2nd Round,2.0,1.0
Seppi A.,Tsitsipas S.,3.49,1.31,Quarterfinals,2.0,1.0
Schwartzman D.,Nishioka Y.,1.74,2.11,Quarterfinals,2.0,1.0
De Minaur A.,Thompson J.,1.29,3.6,Quarterfinals,2.0,0.0
Simon G.,Millman J.,1.8,2.02,Quarterfinals,2.0,1.0
Seppi A.,Schwartzman D.,2.63,1.5,Semifinals,2.0,0.0
De Minaur A.,Simon G.,1.42,2.91,Semifinals,2.0,0.0
De Minaur A.,Seppi A.,1.36,3.22,The Final,2.0,0.0
Anderson K.,Mannarino A.,1.06,9.96,1st Round,3.0,1.0
Basilashvili N.,Eubanks C.,1.23,4.28,1st Round,3.0,1.0
Albot R.,Mmoh M.,2.14,1.72,1st Round,3.0,1.0
Travaglia S.,Andreozzi G.,1.44,2.82,1st Round,3.0,1.0
Verdasco F.,Kecmanovic M.,1.47,2.72,1st Round,3.0,0.0
Cuevas P.,Lajovic D.,3.11,1.38,1st Round,3.0,0.0
Haase R.,Garcia-Lopez G.,2.08,1.76,1st Round,3.0,0.0
Tsitsipas S.,Berrettini M.,1.4,3.0,1st Round,3.0,1.0
Dimitrov G.,Tipsarevic J.,1.06,9.97,1st Round,3.0,1.0
Tiafoe F.,Gunneswaran P.,1.3,3.61,1st Round,3.0,0.0
Nadal R.,Duckworth J.,1.04,11.64,1st Round,3.0,0.0
Fabbiano T.,Kubler J.,2.04,1.79,1st Round,3.0,1.0
Opelka R.,Isner J.,2.75,1.46,1st Round,3.0,1.0
Schwartzman D.,Molleker R.,1.13,6.2,1st Round,3.0,1.0
Evans D.,Ito T.,1.33,3.38,1st Round,3.0,0.0
Kudla D.,Polmans M.,1.27,3.84,1st Round,3.0,2.0
Khachanov K.,Gojowczyk P.,1.1,7.07,1st Round,3.0,1.0
De Minaur A.,Sousa P.,1.05,11.2,1st Round,3.0,0.0
Troicki V.,Carballes Baena R.,1.34,3.32,1st Round,3.0,2.0
Mcdonald M.,Rublev A.,3.46,1.32,1st Round,3.0,1.0
Laaksonen H.,Basic M.,1.81,2.01,1st Round,3.0,1.0
Berdych T.,Edmund K.,1.42,2.89,1st Round,3.0,0.0
Thompson J.,Lopez F.,1.31,3.49,1st Round,3.0,0.0
Ebden M.,Struff J.L.,2.37,1.6,1st Round,3.0,1.0
Seppi A.,Johnson S.,1.84,1.98,1st Round,3.0,1.0
Monfils G.,Dzumhur D.,1.54,2.52,1st Round,3.0,0.0
Nishioka Y.,Sandgren T.,1.77,2.07,1st Round,3.0,1.0
Millman J.,Delbonis F.,1.24,4.12,1st Round,3.0,1.0
Fritz T.,Norrie C.,2.0,1.82,1st Round,3.0,0.0
Bautista Agut R.,Murray A.,1.21,4.55,1st Round,3.0,2.0
Cilic M.,Tomic B.,1.25,4.0,1st Round,3.0,0.0
Federer R.,Istomin D.,1.02,14.98,1st Round,3.0,0.0
Fognini F.,Munar J.,1.45,2.79,1st Round,2.0,0.0
Ivashka I.,Jaziri M.,1.42,2.88,1st Round,2.0,1.0
Mayer L.,Jarry N.,1.81,2.02,1st Round,3.0,1.0
Nishikori K.,Majchrzak K.,1.02,15.25,1st Round,2.0,2.0
Herbert P.H.,Querrey S.,2.69,1.48,1st Round,3.0,1.0
Fucsovics M.,Ramos-Vinolas A.,1.2,4.66,1st Round,3.0,1.0
Harrison R.,Vesely J.,1.59,2.38,1st Round,3.0,0.0
Medvedev D.,Harris L.,1.17,5.11,1st Round,3.0,0.0
Karlovic I.,Hurkacz H.,1.79,2.05,1st Round,3.0,1.0
Coric B.,Darcis S.,1.16,5.37,1st Round,3.0,0.0
Chung H.,Klahn B.,1.52,2.54,1st Round,3.0,2.0
Bolt A.,Sock J.,3.17,1.36,1st Round,3.0,1.0
Sousa J.,Pella G.,1.77,2.07,1st Round,3.0,2.0
Carreno Busta P.,Vanni L.,1.28,3.74,1st Round,3.0,2.0
Donskoy E.,Djere L.,2.0,1.83,1st Round,3.0,1.0
Simon G.,Fratangelo B.,1.24,4.08,1st Round,3.0,0.0
Zverev A.,Bedene A.,1.11,6.62,1st Round,3.0,0.0
Goffin D.,Garin C.,1.17,5.19,1st Round,3.0,0.0
Shapovalov D.,Andujar P.,1.11,6.89,1st Round,3.0,0.0
Daniel T.,Kokkinakis T.,3.8,1.28,1st Round,0.0,1.0
Pouille L.,Kukushkin M.,1.6,2.37,1st Round,3.0,0.0
Copil M.,Granollers M.,1.62,2.33,1st Round,3.0,0.0
Kohlschreiber P.,Li Z.,1.04,11.78,1st Round,3.0,0.0
Tsonga J.W.,Klizan M.,1.3,3.64,1st Round,3.0,0.0
Chardy J.,Humbert U.,1.59,2.39,1st Round,3.0,2.0
Krajinovic F.,Cecchinato M.,1.64,2.29,1st Round,3.0,2.0
Popyrin A.,Zverev M.,1.44,2.82,1st Round,3.0,0.0
Wawrinka S.,Gulbis E.,1.25,4.1,1st Round,0.0,1.0
Marterer M.,Sakharov G.,1.31,3.53,1st Round,3.0,0.0
Djokovic N.,Krueger M.,1.01,21.57,1st Round,3.0,0.0
Raonic M.,Kyrgios N.,1.77,2.07,1st Round,3.0,0.0
Thiem D.,Paire B.,1.29,3.68,1st Round,3.0,2.0
Schwartzman D.,Kudla D.,1.19,4.84,2nd Round,3.0,2.0
Basilashvili N.,Travaglia S.,1.29,3.69,2nd Round,3.0,2.0
Tsitsipas S.,Troicki V.,1.12,6.45,2nd Round,3.0,1.0
Seppi A.,Thompson J.,1.69,2.19,2nd Round,3.0,0.0
Berdych T.,Haase R.,1.11,6.68,2nd Round,3.0,0.0
Cilic M.,Mcdonald M.,1.1,7.45,2nd Round,3.0,1.0
Tiafoe F.,Anderson K.,4.98,1.18,2nd Round,3.0,1.0
Verdasco F.,Albot R.,1.22,4.41,2nd Round,3.0,0.0
Federer R.,Evans D.,1.02,15.48,2nd Round,3.0,0.0
Fritz T.,Monfils G.,2.37,1.6,2nd Round,3.0,1.0
Khachanov K.,Nishioka Y.,1.22,4.36,2nd Round,3.0,0.0
Fabbiano T.,Opelka R.,3.25,1.35,2nd Round,3.0,2.0
Bautista Agut R.,Millman J.,1.32,3.46,2nd Round,3.0,2.0
Dimitrov G.,Cuevas P.,1.13,6.03,2nd Round,3.0,1.0
De Minaur A.,Laaksonen H.,1.05,10.7,2nd Round,3.0,2.0
Nadal R.,Ebden M.,1.06,9.92,2nd Round,3.0,0.0
Nishikori K.,Karlovic I.,1.16,5.25,2nd Round,3.0,2.0
Raonic M.,Wawrinka S.,1.29,3.64,2nd Round,3.0,1.0
Sousa J.,Kohlschreiber P.,2.95,1.41,2nd Round,3.0,2.0
Carreno Busta P.,Ivashka I.,1.63,2.3,2nd Round,3.0,0.0
Coric B.,Fucsovics M.,1.29,3.69,2nd Round,3.0,0.0
Fognini F.,Mayer L.,1.6,2.37,2nd Round,3.0,0.0
Herbert P.H.,Chung H.,2.28,1.65,2nd Round,3.0,1.0
Krajinovic F.,Donskoy E.,1.39,3.05,2nd Round,3.0,0.0
Goffin D.,Copil M.,1.22,4.46,2nd Round,3.0,1.0
Bolt A.,Simon G.,5.94,1.14,2nd Round,3.0,2.0
Pouille L.,Marterer M.,1.73,2.14,2nd Round,3.0,1.0
Shapovalov D.,Daniel T.,1.15,5.59,2nd Round,3.0,0.0
Popyrin A.,Thiem D.,5.04,1.18,2nd Round,2.0,0.0
Medvedev D.,Harrison R.,1.2,4.66,2nd Round,3.0,0.0
Zverev A.,Chardy J.,1.12,6.58,2nd Round,3.0,2.0
Djokovic N.,Tsonga J.W.,1.06,9.59,2nd Round,3.0,0.0
Tsitsipas S.,Basilashvili N.,1.35,3.27,3rd Round,3.0,1.0
Berdych T.,Schwartzman D.,1.26,4.04,3rd Round,3.0,1.0
Federer R.,Fritz T.,1.05,10.47,3rd Round,3.0,0.0
Tiafoe F.,Seppi A.,2.03,1.81,3rd Round,3.0,2.0
Dimitrov G.,Fabbiano T.,1.07,9.13,3rd Round,3.0,0.0
Bautista Agut R.,Khachanov K.,2.6,1.51,3rd Round,3.0,0.0
Nadal R.,De Minaur A.,1.1,7.13,3rd Round,3.0,0.0
Cilic M.,Verdasco F.,1.3,3.63,3rd Round,3.0,2.0
Medvedev D.,Goffin D.,1.59,2.39,3rd Round,3.0,0.0
Nishikori K.,Sousa J.,1.15,5.67,3rd Round,3.0,0.0
Carreno Busta P.,Fognini F.,2.08,1.77,3rd Round,3.0,1.0
Raonic M.,Herbert P.H.,1.17,5.28,3rd Round,3.0,0.0
Djokovic N.,Shapovalov D.,1.04,11.58,3rd Round,3.0,1.0
Coric B.,Krajinovic F.,1.16,5.44,3rd Round,3.0,1.0
Zverev A.,Bolt A.,1.05,10.63,3rd Round,3.0,0.0
Pouille L.,Popyrin A.,1.49,2.67,3rd Round,3.0,2.0
