Player1,Player2
Dimitrov G.,Nishioka Y.
Raonic M.,Bedene A.
Kecmanovic M.,Mayer L.
Millman J.,Sandgren T.
Uchiyama Y.,Humbert U.
Kudla D.,Fritz T.
Chardy J.,Struff J.L.
Murray A.,Duckworth J.
Kyrgios N.,Harrison R.
Tsonga J.W.,Kokkinakis T.
De Minaur A.,Popyrin A.
Thompson J.,Bolt A.
Dimitrov G.,Millman J.
Uchiyama Y.,Edmund K.
Nishikori K.,Kudla D.
Raonic M.,Kecmanovic M.
Chardy J.,Kyrgios N.
Medvedev D.,Murray A.
De Minaur A.,Thompson J.
Tsonga J.W.,Daniel T.
Chardy J.,Uchiyama Y.
Nishikori K.,Dimitrov G.
Medvedev D.,Raonic M.
Tsonga J.W.,De Minaur A.
Nishikori K.,Chardy J.
Medvedev D.,Tsonga J.W.
Nishikori K.,Medvedev D.
Bautista Agut R.,Berrettini M.
Jarry N.,Haase R.
Verdasco F.,Lorenzi P.
Berdych T.,Kohlschreiber P.
Basilashvili N.,Ramos-Vinolas A.
Rublev A.,Seppi A.
Marterer M.,Gojowczyk P.
Berankis R.,Goffin D.
Pella G.,Ilkel C.
Cecchinato M.,Stakhovsky S.
Lajovic D.,Mannarino A.
Garcia-Lopez G.,Zayid M.S.
Wawrinka S.,Khachanov K.
Fucsovics M.,Copil M.
Djokovic N.,Dzumhur D.
Herbert P.H.,Thiem D.
Lajovic D.,Berankis R.
Bautista Agut R.,Garcia-Lopez G.
Wawrinka S.,Jarry N.
Djokovic N.,Fucsovics M.
Cecchinato M.,Pella G.
Herbert P.H.,Marterer M.
Basilashvili N.,Rublev A.
Berdych T.,Verdasco F.
Bautista Agut R.,Wawrinka S.
Djokovic N.,Basilashvili N.
Berdych T.,Herbert P.H.
Cecchinato M.,Lajovic D.
Bautista Agut R.,Djokovic N.
Berdych T.,Cecchinato M.
Bautista Agut R.,Berdych T.
Darcis S.,Carballes Baena R.
Munar J.,Albot R.
Donskoy E.,Andujar P.
Mmoh M.,Gunneswaran P.
Gulbis E.,Sousa P.
Karlovic I.,Auger-Aliassime F.
Bolelli S.,Istomin D.
Ivashka I.,Hurkacz H.
Vesely J.,Hoang A.
Paire B.,Monteiro T.
Ramanathan R.,Granollers M.
Djere L.,Kadhe A.
Karlovic I.,Donskoy E.
Gulbis E.,Chung H.
Paire B.,Vesely J.
Anderson K.,Djere L.
Munar J.,Bolelli S.
Darcis S.,Mmoh M.
Simon G.,Ivashka I.
Jaziri M.,Ramanathan R.
Karlovic I.,Gulbis E.
Darcis S.,Jaziri M.
Anderson K.,Munar J.
Simon G.,Paire B.
Karlovic I.,Darcis S.
Anderson K.,Simon G.
Anderson K.,Karlovic I.
Fritz T.,Copil M.
Kohlschreiber P.,Klahn B.
Struff J.L.,Djere L.
Norrie C.,Paire B.
Sandgren T.,Marterer M.
Berrettini M.,Mcdonald M.
Sousa J.,Shapovalov D.
Mayer L.,Johnson S.
Ferrer D.,Haase R.
Gojowczyk P.,Pella G.
Statham J.,Chung H.
Humbert U.,Cuevas P.
Fritz T.,Isner J.
Sandgren T.,Cecchinato M.
Mayer L.,Berrettini M.
Fognini F.,Gojowczyk P.
Kohlschreiber P.,Humbert U.
Norrie C.,Sousa J.
Carreno Busta P.,Ferrer D.
Struff J.L.,Statham J.
Sandgren T.,Mayer L.
Kohlschreiber P.,Fognini F.
Norrie C.,Fritz T.
Struff J.L.,Carreno Busta P.
Sandgren T.,Kohlschreiber P.
Norrie C.,Struff J.L.
Sandgren T.,Norrie C.
Klizan M.,Popyrin A.
Thompson J.,Mannarino A.
Querrey S.,Jaziri M.
Opelka R.,Ramos-Vinolas A.
De Minaur A.,Lajovic D.
Andreozzi G.,Ebden M.
Nishioka Y.,Harrison R.
Seppi A.,Chardy J.
Garcia-Lopez G.,Kudla D.
Rublev A.,Pouille L.
Millman J.,Tiafoe F.
Fucsovics M.,Duckworth J.
Thompson J.,Daniel T.
Nishioka Y.,Rublev A.
De Minaur A.,Opelka R.
Schwartzman D.,Garcia-Lopez G.
Seppi A.,Klizan M.
Tsitsipas S.,Andreozzi G.
Millman J.,Fucsovics M.
Simon G.,Querrey S.
Seppi A.,Tsitsipas S.
Schwartzman D.,Nishioka Y.
De Minaur A.,Thompson J.
Simon G.,Millman J.
Seppi A.,Schwartzman D.
De Minaur A.,Simon G.
De Minaur A.,Seppi A.
Anderson K.,Mannarino A.
Basilashvili N.,Eubanks C.
Albot R.,Mmoh M.
Travaglia S.,Andreozzi G.
Verdasco F.,Kecmanovic M.
Cuevas P.,Lajovic D.
Haase R.,Garcia-Lopez G.
Tsitsipas S.,Berrettini M.
Dimitrov G.,Tipsarevic J.
Tiafoe F.,Gunneswaran P.
Nadal R.,Duckworth J.
Fabbiano T.,Kubler J.
Opelka R.,Isner J.
Schwartzman D.,Molleker R.
Evans D.,Ito T.
Kudla D.,Polmans M.
Khachanov K.,Gojowczyk P.
De Minaur A.,Sousa P.
Troicki V.,Carballes Baena R.
Mcdonald M.,Rublev A.
Laaksonen H.,Basic M.
Berdych T.,Edmund K.
Thompson J.,Lopez F.
Ebden M.,Struff J.L.
Seppi A.,Johnson S.
Monfils G.,Dzumhur D.
Nishioka Y.,Sandgren T.
Millman J.,Delbonis F.
Fritz T.,Norrie C.
Bautista Agut R.,Murray A.
Cilic M.,Tomic B.
Federer R.,Istomin D.
Fognini F.,Munar J.
Ivashka I.,Jaziri M.
Mayer L.,Jarry N.
Nishikori K.,Majchrzak K.
Herbert P.H.,Querrey S.
Fucsovics M.,Ramos-Vinolas A.
Harrison R.,Vesely J.
Medvedev D.,Harris L.
Karlovic I.,Hurkacz H.
Coric B.,Darcis S.
Chung H.,Klahn B.
Bolt A.,Sock J.
Sousa J.,Pella G.
Carreno Busta P.,Vanni L.
Donskoy E.,Djere L.
Simon G.,Fratangelo B.
Zverev A.,Bedene A.
Goffin D.,Garin C.
Shapovalov D.,Andujar P.
Daniel T.,Kokkinakis T.
Pouille L.,Kukushkin M.
Copil M.,Granollers M.
Kohlschreiber P.,Li Z.
Tsonga J.W.,Klizan M.
Chardy J.,Humbert U.
Krajinovic F.,Cecchinato M.
Popyrin A.,Zverev M.
Wawrinka S.,Gulbis E.
Marterer M.,Sakharov G.
Djokovic N.,Krueger M.
Raonic M.,Kyrgios N.
Thiem D.,Paire B.
Schwartzman D.,Kudla D.
Basilashvili N.,Travaglia S.
Tsitsipas S.,Troicki V.
Seppi A.,Thompson J.
Berdych T.,Haase R.
Cilic M.,Mcdonald M.
Tiafoe F.,Anderson K.
Verdasco F.,Albot R.
Federer R.,Evans D.
Fritz T.,Monfils G.
Khachanov K.,Nishioka Y.
Fabbiano T.,Opelka R.
Bautista Agut R.,Millman J.
Dimitrov G.,Cuevas P.
De Minaur A.,Laaksonen H.
Nadal R.,Ebden M.
Nishikori K.,Karlovic I.
Raonic M.,Wawrinka S.
Sousa J.,Kohlschreiber P.
Carreno Busta P.,Ivashka I.
Coric B.,Fucsovics M.
Fognini F.,Mayer L.
Herbert P.H.,Chung H.
Krajinovic F.,Donskoy E.
Goffin D.,Copil M.
Bolt A.,Simon G.
Pouille L.,Marterer M.
Shapovalov D.,Daniel T.
Popyrin A.,Thiem D.
Medvedev D.,Harrison R.
Zverev A.,Chardy J.
Djokovic N.,Tsonga J.W.
Tsitsipas S.,Basilashvili N.
Berdych T.,Schwartzman D.
Federer R.,Fritz T.
Tiafoe F.,Seppi A.
Dimitrov G.,Fabbiano T.
Bautista Agut R.,Khachanov K.
Nadal R.,De Minaur A.
Cilic M.,Verdasco F.
