nome,mao_dominante,data_de_nascimento,local,altura
Fancutt T.,R,19340714,RSA,180
Ward J.,R,19490728,USA,180
Tavares L.,R,19490926,BRA,180
Smith J.,R,19550129,GBR,188
Gonzalez F.,R,19551119,PAR,193
Maurer A.,R,19580308,GER,175
Purcell M.,R,19590718,USA,178
Zverev A.,R,19970420,GER,198
Gomez A.,L,19600227,ECU,193
Martinez M.,R,19610912,BOL,170
Levine J.,R,19630929,USA,178
Mecir M.,R,19640519,SVK,190
Dolgopolov O.,R,19640710,UKR,180
Muller G.,L,19641227,RSA,190
Fernandez J.,R,19650126,CHI,180
Daniel M.,R,19651121,ISR,188
Goodall J.,R,19670123,GBR,178
Blake J.,R,19670714,USA,178
Muster T.,L,19671002,AUT,180
Becker B.,R,19671122,GER,190
Silva J.,R,19671127,POR,173
Grenier H.,R,19671204,FRA,190
Lopez G.,R,19700529,ESP,180
Silva R.,R,19700813,POR,180
Brown D.,R,19701214,USA,180
Van D.,R,19710705,BEL,180
Aynaoui Y.,R,19710912,MAR,193
Ruud C.,R,19720824,NOR,188
Santoro F.,R,19721209,FRA,178
Knowle J.,L,19740429,AUT,188
Spadea V.,R,19740719,USA,183
Silva J.,R,19750313,VEN,180
Van D.,R,19750705,NED,185
Schuettler R.,R,19760425,GER,180
Lapentti N.,R,19760813,ECU,188
Moya C.,R,19760827,ESP,190
Cermak F.,R,19761114,CZE,193
Delgado R.,R,19761114,PAR,185
Chung H.,R,19761125,KOR,180
Koubek S.,L,19770102,AUT,175
Gicquel M.,R,19770330,FRA,188
Galvani S.,R,19770603,ITA,178
Kiefer N.,R,19770705,GER,183
Mauro A.,L,19770809,ITA,185
Gonzalez A.,R,19771009,ESP,180
Clement A.,R,19771217,FRA,173
Hrbaty D.,R,19780104,SVK,183
Hidalgo R.,R,19780106,ESP,183
Petrovic D.,R,19780403,SRB,180
Haas T.,R,19780403,GER,188
Fraile G.,R,19780407,ESP,180
Hernandez O.,R,19780410,ESP,180
Okun N.,R,19780416,ISR,185
Russell M.,R,19780501,USA,173
Grosjean S.,R,19780529,FRA,175
Sanchez M.,R,19780703,MEX,180
Kim K.,R,19780726,USA,180
Levy H.,R,19780805,ISR,185
Martin A.,R,19780820,ESP,175
Stepanek R.,R,19781127,CZE,185
Gaudio G.,R,19781209,ARG,175
Rochus C.,R,19781215,BEL,170
Karlovic I.,R,19790228,CRO,208
Ljubicic I.,R,19790319,CRO,193
Schukin Y.,R,19790626,KAZ,188
Hernych J.,R,19790707,CZE,190
Si Y.,U,19790824,MAS,180
Chela J.,R,19790830,ARG,190
Luczak P.,R,19790831,AUS,183
Lisnard J.,R,19790925,MON,173
Phau B.,R,19791004,GER,175
Massu N.,R,19791010,CHI,183
Kendrick R.,R,19791115,USA,190
Maamoun K.,R,19791118,EGY,180
Ventura S.,R,19800105,ESP,183
Martinez P.,R,19800115,MEX,180
Arguello M.,R,19800210,ARG,183
Ferrero J.,R,19800212,ESP,183
Bopanna R.,R,19800304,IND,190
Devilder N.,L,19800325,FRA,173
Patience O.,R,19800325,FRA,180
Marrero D.,R,19800408,ESP,185
Robert S.,R,19800517,FRA,185
Llodra M.,L,19800518,FRA,190
Voest R.,R,19800605,RSA,180
Peya A.,R,19800627,AUT,183
Berrer M.,L,19800701,GER,193
Malisse X.,R,19800719,BEL,185
Ghareeb M.,R,19800722,KUW,180
Montanes A.,R,19801126,ESP,175
Klec I.,R,19801128,SVK,183
Mello R.,L,19801221,BRA,175
Junqueira D.,L,19801228,ARG,178
Yani M.,R,19801231,USA,185
Im K.,R,19810106,KOR,185
Ascione T.,R,19810117,FRA,188
Rochus O.,R,19810118,BEL,168
Pospisil J.,R,19810209,CZE,180
Vinciguerra A.,L,19810219,SWE,180
Hewitt L.,R,19810224,AUS,180
Serra F.,R,19810228,FRA,180
Meffert D.,R,19810409,GER,198
Greul S.,R,19810413,GER,185
Dent T.,R,19810424,USA,188
Melzer J.,L,19810522,AUT,183
Junaid R.,R,19810525,AUS,180
Davydenko N.,R,19810602,RUS,178
