Location,Surface,Date,Tournament
Brisbane,Hard,1/4/2010,Brisbane International
Brisbane,Hard,1/5/2010,Brisbane International
Brisbane,Hard,1/6/2010,Brisbane International
Brisbane,Hard,1/7/2010,Brisbane International
Brisbane,Hard,1/8/2010,Brisbane International
Brisbane,Hard,1/9/2010,Brisbane International
Brisbane,Hard,1/10/2010,Brisbane International
Chennai,Hard,1/4/2010,Chennai Open
Chennai,Hard,1/5/2010,Chennai Open
Chennai,Hard,1/6/2010,Chennai Open
Chennai,Hard,1/7/2010,Chennai Open
Chennai,Hard,1/8/2010,Chennai Open
Chennai,Hard,1/9/2010,Chennai Open
Chennai,Hard,1/10/2010,Chennai Open
Doha,Hard,1/4/2010,Qatar Exxon Mobil Open
Doha,Hard,1/5/2010,Qatar Exxon Mobil Open
Doha,Hard,1/6/2010,Qatar Exxon Mobil Open
Doha,Hard,1/7/2010,Qatar Exxon Mobil Open
Doha,Hard,1/8/2010,Qatar Exxon Mobil Open
Doha,Hard,1/9/2010,Qatar Exxon Mobil Open
Auckland,Hard,1/10/2010,Heineken Open
Auckland,Hard,1/11/2010,Heineken Open
Auckland,Hard,1/12/2010,Heineken Open
Auckland,Hard,1/13/2010,Heineken Open
Auckland,Hard,1/14/2010,Heineken Open
Auckland,Hard,1/15/2010,Heineken Open
Auckland,Hard,1/16/2010,Heineken Open
Sydney,Hard,1/11/2010,Medibank International
Sydney,Hard,1/12/2010,Medibank International
Sydney,Hard,1/13/2010,Medibank International
Sydney,Hard,1/14/2010,Medibank International
Sydney,Hard,1/15/2010,Medibank International
Sydney,Hard,1/16/2010,Medibank International
Melbourne,Hard,1/18/2010,Australian Open
Melbourne,Hard,1/19/2010,Australian Open
Melbourne,Hard,1/20/2010,Australian Open
Melbourne,Hard,1/21/2010,Australian Open
Melbourne,Hard,1/22/2010,Australian Open
Melbourne,Hard,1/23/2010,Australian Open
Melbourne,Hard,1/24/2010,Australian Open
Melbourne,Hard,1/25/2010,Australian Open
Melbourne,Hard,1/26/2010,Australian Open
Melbourne,Hard,1/27/2010,Australian Open
Melbourne,Hard,1/28/2010,Australian Open
Melbourne,Hard,1/29/2010,Australian Open
Melbourne,Hard,1/31/2010,Australian Open
Johannesburg ,Hard,2/1/2010,SA Tennis Open
Johannesburg ,Hard,2/2/2010,SA Tennis Open
Johannesburg ,Hard,2/3/2010,SA Tennis Open
Johannesburg ,Hard,2/4/2010,SA Tennis Open
Johannesburg ,Hard,2/5/2010,SA Tennis Open
Johannesburg ,Hard,2/6/2010,SA Tennis Open
Johannesburg ,Hard,2/7/2010,SA Tennis Open
Santiago,Clay,2/1/2010,Movistar Open
Santiago,Clay,2/2/2010,Movistar Open
Santiago,Clay,2/3/2010,Movistar Open
Santiago,Clay,2/4/2010,Movistar Open
Santiago,Clay,2/5/2010,Movistar Open
Santiago,Clay,2/6/2010,Movistar Open
Santiago,Clay,2/7/2010,Movistar Open
